Copy_Buffer.htm+html.head.title:55-3,Copy Buffer
Copy_Buffer.htm+html.head.title:59-3,Copy Buffer
Copy_Buffer.htm+html.body.div.div.div[title]:73-7,Copy Buffer
Copy_Buffer.htm+html.body.div.div.div:73-7,{WITH_ENG}Copy Buffer
Copy_Buffer.htm+html.body.h1.img[alt]:86-7,{IMG_TXT} Copy Buffer Icon
Copy_Buffer.htm+html.body.h1:86-3,{WITH_ENG} Copy Buffer
Copy_Buffer.htm+html.body.p:87-3,"This action can be used to copy all of the data stored in one buffer to another. When using two buffers and copying from one to the other, both buffers must have previously been created using the <a href=""Create_Buffer.htm"">Create Buffer</a> action, and you supply the unique buffer ID returned as the from/to arguments."
Copy_Buffer.htm+html.body.p:89-3,<b>NOTE</b>: You cannot copy to the same buffer.
Copy_Buffer.htm+html.body.h4:91-3,Action Syntax:
Copy_Buffer.htm+html.body.p.span.img[alt]:92-12,{IMG_TXT} Copy Buffer Action
Copy_Buffer.htm+html.body.h4:93-3,Arguments:
Copy_Buffer.htm+html.body.table.tbody.tr.th:97-9,Argument
Copy_Buffer.htm+html.body.table.tbody.tr.th:98-9,Description
Copy_Buffer.htm+html.body.table.tbody.tr.td:101-9,Buffer
Copy_Buffer.htm+html.body.table.tbody.tr.td:102-9,The buffer index (stored in a variable) to copy <i>from</i>
Copy_Buffer.htm+html.body.table.tbody.tr.td:105-9,Copy To
Copy_Buffer.htm+html.body.table.tbody.tr.td:106-9,The buffer index (stored in a variable) to copy <i>to</i>
Copy_Buffer.htm+html.body.h4:111-3,Example:
Copy_Buffer.htm+html.body.p.img[alt]:112-6,{IMG_TXT} Copy Buffer Example
Copy_Buffer.htm+html.body.p:112-3,"The above action block code will create a new buffer and store its ID in a temporary variable. It then checks to see if the buffer indexed in the given global variable exists, and if it does then it is copied to the temporary buffer and the read/write position reset back to the start, and if it doesn't exists then it is created."
Copy_Buffer.htm+html.body.div.div.div.div:120-9,"Back: <a href=""Buffer_Actions.htm"">Buffer Actions</a>"
Copy_Buffer.htm+html.body.div.div.div.div:121-9,"Next: <a href=""Delete_Buffer.htm"">Delete Buffer</a>"
Copy_Buffer.htm+html.body.p:133-1,{SEARCH_RESULT} Page that explains the Copy Buffer action
Copy_Buffer.htm+html.body.p:133-65,{INDEX_KEYWORD} DnD™ Action - Copy Buffer
