Delete_Buffer.htm+html.head.title:55-3,Delete Buffer
Delete_Buffer.htm+html.head.title:59-3,Delete Buffer
Delete_Buffer.htm+html.body.div.div.div[title]:73-7,Delete Buffer
Delete_Buffer.htm+html.body.div.div.div:73-7,{WITH_ENG}Delete Buffer
Delete_Buffer.htm+html.body.h1.img[alt]:86-7,{IMG_TXT} Delete Buffer Icon
Delete_Buffer.htm+html.body.h1:86-3,{WITH_ENG} Delete Buffer
Delete_Buffer.htm+html.body.p:87-3,"This action can be used to delete a buffer from memory, releasing the resources used to create it and removing any data that it may currently contain. You supply the unique buffer ID value as returned by the action <a href=""Create_Buffer.htm"">Create Buffer</a>. Note that you can select multiple buffers for removal by clicking the plus icon <span><img alt=""{IMG_TXT} Expand Icon"" src=""../../../assets/Images/Scripting_Reference/Drag_And_Drop/Reference/Icon_Expand_Arguments.png"" style=""width: 100%; max-width: 17px;"" /> </span>beside the action, and adding another buffer ID."
Delete_Buffer.htm+html.body.p:90-3,<b>NOTE</b>: It's important to always remove any dynamically created resources from memory when you no longer need them to prevent memory leaks.
Delete_Buffer.htm+html.body.h4:92-3,Action Syntax:
Delete_Buffer.htm+html.body.p.img[alt]:93-6,{IMG_TXT} Delete Buffer Action
Delete_Buffer.htm+html.body.h4:94-3,Arguments:
Delete_Buffer.htm+html.body.table.tbody.tr.th:98-9,Argument
Delete_Buffer.htm+html.body.table.tbody.tr.th:99-9,Description
Delete_Buffer.htm+html.body.table.tbody.tr.td:102-9,Buffer
Delete_Buffer.htm+html.body.table.tbody.tr.td:103-9,The buffer index (stored in a variable)
Delete_Buffer.htm+html.body.h4:108-3,Example:
Delete_Buffer.htm+html.body.p.img[alt]:109-6,{IMG_TXT} Delete Buffer Example
Delete_Buffer.htm+html.body.p:109-3,The above action block code checks to see if a buffer exists and if it does it is deleted.
Delete_Buffer.htm+html.body.div.div.div.div:116-9,"Back: <a href=""Buffer_Actions.htm"">Buffer Actions</a>"
Delete_Buffer.htm+html.body.div.div.div.div:117-9,"Next: <a href=""Read_Buffer.htm"">Read Buffer</a>"
Delete_Buffer.htm+html.body.p:129-1,{SEARCH_RESULT} Page that explains the Delete Buffer action
Delete_Buffer.htm+html.body.p:129-67,{INDEX_KEYWORD} DnD™ Action - Delete Buffer
