Draw_Sprite_Transformed.htm+html.head.title:55-3,Draw Sprite Transformed
Draw_Sprite_Transformed.htm+html.head.title:59-3,Draw Sprite Transformed
Draw_Sprite_Transformed.htm+html.body.div.div.div[title]:73-7,Draw Sprite Transformed
Draw_Sprite_Transformed.htm+html.body.div.div.div:73-7,{WITH_ENG}Draw Sprite Transformed
Draw_Sprite_Transformed.htm+html.body.h1.img[alt]:86-7,{IMG_TXT} Draw Sprite Transformed Icon
Draw_Sprite_Transformed.htm+html.body.h1:86-3,{WITH_ENG} Draw Sprite Transformed
Draw_Sprite_Transformed.htm+html.body.p:87-3,"This function will draw the given sprite similar to the action <a href=""Draw_Sprite.htm"">Draw Sprite</a> but with additional options to change the scale, blending, rotation and frame of the sprite being drawn. Changing these values does <i>not</i> modify the resource in any way (only how it is drawn), and you can use any of the available <a href=""../Instance/Set_Instance_Variable.htm"">sprite property variables</a> instead of direct values for all the arguments in the function. The image below illustrates how different values affect the drawing of the sprite:"
Draw_Sprite_Transformed.htm+html.body.p.img[alt]:90-6,{IMG_TXT} Transformed Sprite Examples
Draw_Sprite_Transformed.htm+html.body.p:91-3,"<b>NOTE: </b>Colour blending is only recommended for the HTML5 target when WebGL is enabled, although you can still set the blending colour if it is not enabled and it will blend the sprite as normal. However all blending in this way creates a duplicate sprite which is then stored in the cache and used when required. This is far from optimal and if you use multiple colour changes it will slow down your games performance unless you activate WebGL. if you do not wish to use WebGL, then you can set the font cache size to try and limit this should it be necessary using the function <tt><span style=""font-size:14px;""><a href=""../../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Manipulation/sprite_set_cache_size.htm"">sprite_set_cache_size()</a>.</span></tt>"
Draw_Sprite_Transformed.htm+html.body.p:94-3,"<b>NOTE</b>: This action is only for use in the various <a href=""../../../The_Asset_Editors/Object_Properties/Draw_Events.htm"">Draw Events</a>, and will not draw anything if used elsewhere."
Draw_Sprite_Transformed.htm+html.body.h4:96-3,Action Syntax:
Draw_Sprite_Transformed.htm+html.body.p.img[alt]:97-6,{IMG_TXT} Draw Sprite Transformed Action
Draw_Sprite_Transformed.htm+html.body.h4:98-3,Arguments:
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.th:102-9,Argument
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.th:103-9,Description
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:106-9,Sprite
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:107-9,The sprite to draw
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:110-9,Frame
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:111-9,The sprite frame to draw (use the built in variable <tt>image_index</tt> for the current frame)
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:114-9,X
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:115-9,The x position to draw at within the room
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:118-9,Y
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:119-9,The y position to draw at within the room
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:122-9,Scale X
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:123-9,The scale factor for the X axis (use the built in variable <tt>image_xscale</tt> for the current X scale)
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:126-9,Scale Y
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:127-9,The scale factor for the Y axis (use the built in variable <tt>image_yscale</tt> for the current Y scale)
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:130-9,Rotation
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:131-9,"The draw angle for the sprite (from 0 to 360, rotating anticlockwise where 0 is to the right - use the built in variable <tt>image_angle</tt> for the current rotation)"
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:134-9,Colour
Draw_Sprite_Transformed.htm+html.body.table.tbody.tr.td:135-9,"The colour to blend with the sprite (default is white, and you can use the built in variable <tt>image_blend</tt> for the current colour)"
Draw_Sprite_Transformed.htm+html.body.h4:140-3,Example:
Draw_Sprite_Transformed.htm+html.body.p.img[alt]:141-6,{IMG_TXT} Draw Sprite Transformed Example
Draw_Sprite_Transformed.htm+html.body.p:141-3,"The above action block code checks a variable and if it is set to <tt>true</tt> then the sprite is drawn with random scaling along the x and y axis and blended with the colour red, otherwise the sprite is drawn using the default transforms."
Draw_Sprite_Transformed.htm+html.body.div.div.div.div:148-9,"Back: <a href=""Drawing_Actions.htm"">Drawing Actions</a>"
Draw_Sprite_Transformed.htm+html.body.div.div.div.div:149-9,"Next: <a href=""Draw_Stacked_Sprites.htm"">Draw Stacked Sprites</a>"
Draw_Sprite_Transformed.htm+html.body.p:161-1,{SEARCH_RESULT} Page that explains the Draw Sprite Transformed action
Draw_Sprite_Transformed.htm+html.body.p:161-77,{INDEX_KEYWORD} DnD™ Action - Draw Sprite Transformed
