Load_Buffer.htm+html.head.title:55-3,Load Buffer
Load_Buffer.htm+html.head.title:59-3,Load Buffer
Load_Buffer.htm+html.body.div.div.div[title]:73-7,Load Buffer
Load_Buffer.htm+html.body.div.div.div:73-7,{WITH_ENG}Load Buffer
Load_Buffer.htm+html.body.h1.img[alt]:86-7,{IMG_TXT} Load Buffer Icon
Load_Buffer.htm+html.body.h1:86-3,{WITH_ENG} Load Buffer
Load_Buffer.htm+html.body.p:87-3,"With this action you can load a buffer that was previously saved with the action <a href=""Save_Buffer.htm"">Save Buffer</a>. The action will create a new buffer, load the data file into it, and return the unique ID value to identify the buffer to the variable. You supply the name of the file to load (as a string) and a variable to store the returned buffer ID in. Note that if you flag the variable as a temporary local variable, you need to make sure to delete the buffer this function creates before the end of the action script or event, otherwise you will lose the reference to it and get a memory leak when the variable is discarded."
Load_Buffer.htm+html.body.h4:91-3,Action Syntax:
Load_Buffer.htm+html.body.p.img[alt]:92-6,{IMG_TXT} Load Buffer Action
Load_Buffer.htm+html.body.h4:93-3,Arguments:
Load_Buffer.htm+html.body.table.tbody.tr.th:97-9,Argument
Load_Buffer.htm+html.body.table.tbody.tr.th:98-9,Description
Load_Buffer.htm+html.body.table.tbody.tr.td:101-9,Filename
Load_Buffer.htm+html.body.table.tbody.tr.td:102-9,The name (as a string) of the file to open
Load_Buffer.htm+html.body.table.tbody.tr.td:105-9,Target
Load_Buffer.htm+html.body.table.tbody.tr.td:106-9,The target variable to hold the unique ID value for the buffer created on load
Load_Buffer.htm+html.body.h4:111-3,Example:
Load_Buffer.htm+html.body.p.img[alt]:112-6,{IMG_TXT} Load Buffer Example
Load_Buffer.htm+html.body.p:112-3,"The above action block code will create a variable to hold buffer data and then check to see if a buffer save file has been made previously. If the file exists, then it is loaded into the buffer variable that we created, but if it doesn't exist, it is created, written to and then saved out ready for loading the next time."
Load_Buffer.htm+html.body.div.div.div.div:120-9,"Back: <a href=""File_Actions.htm"">File Actions</a>"
Load_Buffer.htm+html.body.div.div.div.div:121-9,"Next: <a href=""Save_Buffer.htm"">Save Buffer</a>"
Load_Buffer.htm+html.body.p:133-1,{SEARCH_RESULT} Page that explains the Load Buffer action
Load_Buffer.htm+html.body.p:133-65,{INDEX_KEYWORD} DnD™ Action - Load Buffer
