Set_Point_Direction.htm+html.head.title:55-3,Set Point Direction
Set_Point_Direction.htm+html.head.title:59-3,Set Point Direction
Set_Point_Direction.htm+html.body.div.div.div[title]:74-7,Set Point Direction
Set_Point_Direction.htm+html.body.div.div.div:74-7,{WITH_ENG}Set Point Direction
Set_Point_Direction.htm+html.body.h1.img[alt]:87-7,{IMG_TXT} Set Point Direction Icon
Set_Point_Direction.htm+html.body.h1:87-3,{WITH_ENG} Set Point Direction
Set_Point_Direction.htm+html.body.p:88-3,"This action is used to set a direction from a vector formed by the current position of the instance and the position given. You supply the x and y position to ""point"" at - these can be flagged as relative to the instance position - and the direction from the instance to that point will be used for the instance."
Set_Point_Direction.htm+html.body.h4:91-3,Action Syntax:
Set_Point_Direction.htm+html.body.p.img[alt]:92-6,{IMG_TXT} Set Point Direction Action
Set_Point_Direction.htm+html.body.h4:93-3,Arguments:
Set_Point_Direction.htm+html.body.table.tbody.tr.th:97-9,Argument
Set_Point_Direction.htm+html.body.table.tbody.tr.th:98-9,Description
Set_Point_Direction.htm+html.body.table.tbody.tr.td:101-9,x
Set_Point_Direction.htm+html.body.table.tbody.tr.td:102-9,The x component of the direction vector.
Set_Point_Direction.htm+html.body.table.tbody.tr.td:105-9,y
Set_Point_Direction.htm+html.body.table.tbody.tr.td:106-9,The y component of the direction vector.
Set_Point_Direction.htm+html.body.h4:111-3,Example:
Set_Point_Direction.htm+html.body.p.img[alt]:112-6,{IMG_TXT} Set Point Direction Example
Set_Point_Direction.htm+html.body.p:112-3,"The above action block code checks checks to see if an instance of the object ""<span class=""inline"">obj_Player</span>"" exists in the room and if it does it then sets the direction of the instance to point towards the x/y position of ""<span class=""inline"">obj_Player</span>""."
Set_Point_Direction.htm+html.body.div.div.div.div:120-9,"Back: <a href=""Movement_Actions.htm"">Movement Actions</a>"
Set_Point_Direction.htm+html.body.div.div.div.div:121-9,"Next: <a href=""Set_Direction_Random.htm"">Set Direction Random</a>"
Set_Point_Direction.htm+html.body.p:133-1,{SEARCH_RESULT} Page that explains the Set Point Direction action
Set_Point_Direction.htm+html.body.p:134-31,{INDEX_KEYWORD} DnD™ Action - Set Point Direction
