Pause_Sequence.htm+html.head.title:55-3,Pause Sequence
Pause_Sequence.htm+html.head.title:59-3,Pause Sequence
Pause_Sequence.htm+html.body.div.div.div[title]:73-7,Pause Sequence
Pause_Sequence.htm+html.body.div.div.div:73-7,{WITH_ENG}Pause Sequence
Pause_Sequence.htm+html.body.h1.img[alt]:86-7,{IMG_TXT} Pause Sequence Icon
Pause_Sequence.htm+html.body.h1:86-3,{WITH_ENG} Play Sequence
Pause_Sequence.htm+html.body.p:87-3,"With this action you can pause a playing sequence. You supply the sequence element ID (as returned by the action <a href=""Create_Sequence_Element.htm"">Create Sequence</a>), and the action will pause it playing."
Pause_Sequence.htm+html.body.h4:89-3,Action Syntax:
Pause_Sequence.htm+html.body.p.img[alt]:90-6,{IMG_TXT} Pause Sequence Action
Pause_Sequence.htm+html.body.h4:91-3,Arguments:
Pause_Sequence.htm+html.body.table.tbody.tr.th:96-11,Argument
Pause_Sequence.htm+html.body.table.tbody.tr.th:97-11,Description
Pause_Sequence.htm+html.body.table.tbody.tr.td:100-11,Variable
Pause_Sequence.htm+html.body.table.tbody.tr.td:101-11,The ID of the sequence element to pause.
Pause_Sequence.htm+html.body.h4:107-3,Example:
Pause_Sequence.htm+html.body.p.img[alt]:108-6,{IMG_TXT} Pause Sequence Example
Pause_Sequence.htm+html.body.p:108-3,"The above action block code checks to see if a global variable is <tt>true</tt>. If it is then the sequence element referenced in the variable ""<span class=""inline"">my_seq</span>"" is paused, otherwise it is set to play."
Pause_Sequence.htm+html.body.div.div.div.div:116-9,"Back: <a href=""Sequence_Actions_Library.htm"">Sequence Actions</a>"
Pause_Sequence.htm+html.body.div.div.div.div:117-9,"Next: <a href=""If_Sequence_Exists.htm"">If Sequence Exists</a>"
Pause_Sequence.htm+html.body.p:129-1,{SEARCH_RESULT} Page that explains the Pause Sequence action
Pause_Sequence.htm+html.body.p:129-68,{INDEX_KEYWORD} DnD™ Action - Pause Sequence
