Case.htm+html.head.title:55-3,Case
Case.htm+html.head.title:59-3,Case
Case.htm+html.body.div.div.div[title]:73-7,Case
Case.htm+html.body.div.div.div:73-7,{WITH_ENG}Case
Case.htm+html.body.h1.img[alt]:86-7,{IMG_TXT} Case Icon
Case.htm+html.body.h1:86-3,{WITH_ENG} Case
Case.htm+html.body.p:87-3,"This action will create a new Case within a <a href=""Switch.htm"">Switch</a>. You give the value for the case and it will be compared with the input value for the Switch, and if they match the actions added under the Case will be performed. Actions that are added to a Case to be performed <i>only</i> in that Case should be dropped to the side of the action, much as you would add an action to an ""if"":"
Case.htm+html.body.p.img[alt]:89-6,{IMG_TXT} Case drop actions
Case.htm+html.body.p:89-3,"Note that a Case value <i>must be a constant</i>, which can be any data type (real, string, etc...), as long as it evaluates to a single value on compile - so you can't use expressions that depend on variables. Also note that Case cannot be used outside of a Switch and trying to do so will give you an error."
Case.htm+html.body.h4:92-3,Action Syntax:
Case.htm+html.body.p.img[alt]:93-6,{IMG_TXT} Case Action
Case.htm+html.body.h4:94-3,Arguments:
Case.htm+html.body.table.tbody.tr.th:99-11,Argument
Case.htm+html.body.table.tbody.tr.th:100-11,Description
Case.htm+html.body.table.tbody.tr.td:103-11,Constant
Case.htm+html.body.table.tbody.tr.td:104-11,The constant value to be evaluated against the Switch input value
Case.htm+html.body.h4:110-3,Example:
Case.htm+html.body.p.img[alt]:111-6,{IMG_TXT} Case Example
Case.htm+html.body.p:111-3,"The above action block code gets the value stored in a variable and then compares it to the different possible cases. If any one of the cases is the same as the value, then the action under that case will be performed, otherwise the next case will be evaluated. After the switch has run, an alarm is set to 30."
Case.htm+html.body.div.div.div.div:119-9,"Back: <a href=""Switch_Actions.htm"">Switch Actions</a>"
Case.htm+html.body.div.div.div.div:120-9,"Next: <a href=""Default.htm"">Default</a>"
Case.htm+html.body.p:132-1,{SEARCH_RESULT} Page that explains the Case action
Case.htm+html.body.p:132-58,{INDEX_KEYWORD} DnD™ Action - Case
