GML_Overview.htm+html.head.title:55-3,GML Overview
GML_Overview.htm+html.head.title:59-3,GML Overview
GML_Overview.htm+html.body.div.div.div[title]:73-7,GML Overview
GML_Overview.htm+html.body.div.div.div:73-7,GML Overview
GML_Overview.htm+html.body.h1:86-3,GameMaker Language Overview
GML_Overview.htm+html.body.p:87-3,"<span>This section of the manual contains all the information required to understand and use the </span>GameMaker Studio 2<span> scripting language </span><b>GML</b><span>. The runtime functions in this language can be used to create your games and is added into objects from the </span> <a href=""../../The_Asset_Editors/Objects.htm"">Object Editor</a><span>, normally when you've chosen to make a new </span><a href=""../../Introduction/The_Start_Page.htm"">GameMaker Language Project</a><span>, although it can also be used along with </span> <a href=""../../Drag_And_Drop/Drag_And_Drop_Index.htm"">DnD™</a><span> (Drag and Drop)</span><span>. Below you can see a typical image of an object with the code editor open on an event:</span>"
GML_Overview.htm+html.body.p.img[alt]:88-6,"{IMG_TXT} Object, Events and Code Overview"
GML_Overview.htm+html.body.p:88-3,"<span>Each event has its own tab in the editor and you can add, edit, or remove code from them at any time (for more information on events see </span> <a href=""../../The_Asset_Editors/Object_Properties/Object_Events.htm"">Object Events</a><span>). The code itself must have a basic structure and can contain resource indices, variables, functions, expressions, keywords... etc... all of which are explained in the sections below. If you are a novice to programming or making the switch from DnD™, it is recommended that you start with the page on</span> <a href=""Basic_Code_Structure.htm"">Basic Code Structure</a><span> and then read through all the other pages in this section, testing code from each one within </span>GameMaker Studio 2<span> itself.</span>"
GML_Overview.htm+html.body.ul.li:91-5,Basic Code Structure
GML_Overview.htm+html.body.ul.li:92-5,Runtime Functions
GML_Overview.htm+html.body.ul.li:93-5,Commenting Code
GML_Overview.htm+html.body.ul.li:94-5,Variables And Variable Scope
GML_Overview.htm+html.body.ul.li:95-5,Arrays
GML_Overview.htm+html.body.ul.li:96-5,Data Types
GML_Overview.htm+html.body.ul.li:97-5,Instance Keywords
GML_Overview.htm+html.body.ul.li:98-5,Addressing Variables In Other Instances
GML_Overview.htm+html.body.ul.li:99-5,Evaluation Order
GML_Overview.htm+html.body.ul.li:100-5,Expressions And Operators
GML_Overview.htm+html.body.ul.li:101-5,Accessors
GML_Overview.htm+html.body.ul.li:102-5,Script Functions And Variables
GML_Overview.htm+html.body.ul.li:103-5,Method Variables
GML_Overview.htm+html.body.ul.li:104-5,Structs
GML_Overview.htm+html.body.ul.li:105-5,Language Features
GML_Overview.htm+html.body.div.div.div.div:113-9,"Back: <a href=""../../Content.htm"">Index</a>"
GML_Overview.htm+html.body.div.div.div.div:114-9,"Next: <a href=""../GML_Reference/GML_Reference.htm"">GameMaker Language Reference</a>"
GML_Overview.htm+html.body.p:126-1,{SEARCH_RESULT} Overview of GML
GML_Overview.htm+html.body.p:126-39,{INDEX_KEYWORD} GML Overview
