GameMaker_Language_Index.htm+html.head.title:55-3,GameMaker Language Index
GameMaker_Language_Index.htm+html.head.title:59-3,GameMaker Language Index
GameMaker_Language_Index.htm+html.body.div.div.div[title]:74-7,GameMaker Language Index
GameMaker_Language_Index.htm+html.body.div.div.div:74-7,GameMaker Language Index
GameMaker_Language_Index.htm+html.body.h1:87-3,GameMaker Language Index
GameMaker_Language_Index.htm+html.body.p:88-3,"The GameMaker Language (also called simply GML) is the <span>proprietary<span> </span></span>GameMaker Studio 2 <strong>scripting language</strong>. This language is structured to permit users to create their games in an intuitive and flexible way while offering all the power of any other major programming language. It is also the basis for <a href=""../Drag_And_Drop/Drag_And_Drop_Index.htm"">Drag and Drop™</a> and can be used in conjunction with that if required."
GameMaker_Language_Index.htm+html.body.p:90-3,The GameMaker Language section of the manual is split into the following sections:
GameMaker_Language_Index.htm+html.body.h2:92-3,Overview
GameMaker_Language_Index.htm+html.body.ul.li:94-5,Basic Code Structure
GameMaker_Language_Index.htm+html.body.ul.li:95-5,Runtime Functions
GameMaker_Language_Index.htm+html.body.ul.li:96-5,Commenting Code
GameMaker_Language_Index.htm+html.body.ul.li:97-5,Variables And Variable Scope
GameMaker_Language_Index.htm+html.body.ul.li:98-5,Arrays
GameMaker_Language_Index.htm+html.body.ul.li:99-5,Data Types
GameMaker_Language_Index.htm+html.body.ul.li:100-5,Instance Keywords
GameMaker_Language_Index.htm+html.body.ul.li:101-5,Addressing Variables In Other Instances
GameMaker_Language_Index.htm+html.body.ul.li:102-5,Evaluation Order
GameMaker_Language_Index.htm+html.body.ul.li:103-5,Expressions And Operators
GameMaker_Language_Index.htm+html.body.ul.li:104-5,Accessors
GameMaker_Language_Index.htm+html.body.ul.li:105-5,Script Functions And Variables
GameMaker_Language_Index.htm+html.body.ul.li:106-5,Method Variables
GameMaker_Language_Index.htm+html.body.ul.li:107-5,Structs
GameMaker_Language_Index.htm+html.body.ul.li:108-5,Language Features
GameMaker_Language_Index.htm+html.body.h2:111-3,Reference
GameMaker_Language_Index.htm+html.body.ul.li:113-5,Variable Functions
GameMaker_Language_Index.htm+html.body.ul.li:114-5,Asset Management
GameMaker_Language_Index.htm+html.body.ul.li:115-5,General Game Control
GameMaker_Language_Index.htm+html.body.ul.li:116-5,Movement And Collisions
GameMaker_Language_Index.htm+html.body.ul.li:117-5,Drawing
GameMaker_Language_Index.htm+html.body.ul.li:118-5,Cameras And Display
GameMaker_Language_Index.htm+html.body.ul.li:119-5,Game Input
GameMaker_Language_Index.htm+html.body.ul.li:120-5,Data Structures
GameMaker_Language_Index.htm+html.body.ul.li:121-5,Strings
GameMaker_Language_Index.htm+html.body.ul.li:122-5,Maths And Numbers
GameMaker_Language_Index.htm+html.body.ul.li:123-5,Physics
GameMaker_Language_Index.htm+html.body.ul.li:124-5,In App Purchases
GameMaker_Language_Index.htm+html.body.ul.li:125-5,Asynchronous Functions
GameMaker_Language_Index.htm+html.body.ul.li:126-5,Networking
GameMaker_Language_Index.htm+html.body.ul.li:127-5,Web And HTML5
GameMaker_Language_Index.htm+html.body.ul.li:128-5,Steam
GameMaker_Language_Index.htm+html.body.ul.li:129-5,File Handling
GameMaker_Language_Index.htm+html.body.ul.li:130-5,Buffers
GameMaker_Language_Index.htm+html.body.ul.li:131-5,UWP And Xbox Live
GameMaker_Language_Index.htm+html.body.ul.li:132-5,OS And Compiler
GameMaker_Language_Index.htm+html.body.ul.li:133-5,Debugging
GameMaker_Language_Index.htm+html.body.ul.li:134-5,Garbage Collection
GameMaker_Language_Index.htm+html.body.div.div.div.div:142-9,"Back: <a href=""../Content.htm"">Index</a>"
GameMaker_Language_Index.htm+html.body.div.div.div.div:143-9,"Next: <a href=""../Additional_Information/Additional_Information.htm"">Additional Information</a>"
GameMaker_Language_Index.htm+html.body.p:155-1,{SEARCH_RESULT} Page that indexes all the relevant GML pages
GameMaker_Language_Index.htm+html.body.p:155-68,{INDEX_KEYWORD} GameMaker Language
