tilemap_get_cell_y_at_pixel.htm+html.head.title:55-3,tilemap_get_cell_y_at_pixel
tilemap_get_cell_y_at_pixel.htm+html.head.title:59-3,tilemap_get_cell_y_at_pixel
tilemap_get_cell_y_at_pixel.htm+html.body.div.div.div[title]:73-7,tilemap_get_cell_y_at_pixel
tilemap_get_cell_y_at_pixel.htm+html.body.div.div.div:73-7,tilemap_get_cell_y_at_pixel
tilemap_get_cell_y_at_pixel.htm+html.body.h1:86-3,tilemap_get_cell_y_at_pixel
tilemap_get_cell_y_at_pixel.htm+html.body.p:87-3,"Using this function you can retrieve the y-axis position of an individual tile map cell by giving the relative y-axis position within the room. You give the tile map element ID (which you get when you create a tile map element using <a href=""layer_tilemap_create.htm""><tt>layer_tilemap_create()</tt></a> or when you use the function <a href=""layer_tilemap_get_id.htm""><tt>layer_tilemap_get_id()</tt></a>), as well as the x and y position <i>within the room</i> and the function will return the y position of the cell within the tile map for that point. Note that if the value is outside of the tile map area, and no cell is available, it will return -1."
tilemap_get_cell_y_at_pixel.htm+html.body.h4:90-3,Syntax:
tilemap_get_cell_y_at_pixel.htm+html.body.p:91-3,"tilemap_get_cell_y_at_pixel(tilemap_element_id, x, y);"
tilemap_get_cell_y_at_pixel.htm+html.body.table.tbody.tr.th:95-9,Argument
tilemap_get_cell_y_at_pixel.htm+html.body.table.tbody.tr.th:96-9,Description
tilemap_get_cell_y_at_pixel.htm+html.body.table.tbody.tr.td:99-9,tilemap_element_id
tilemap_get_cell_y_at_pixel.htm+html.body.table.tbody.tr.td:100-9,The unique ID value of the tile map element to get the cell y position of
tilemap_get_cell_y_at_pixel.htm+html.body.table.tbody.tr.td:103-9,x
tilemap_get_cell_y_at_pixel.htm+html.body.table.tbody.tr.td:104-9,The x position within the room to use for getting the cell
tilemap_get_cell_y_at_pixel.htm+html.body.table.tbody.tr.td:107-9,y
tilemap_get_cell_y_at_pixel.htm+html.body.table.tbody.tr.td:108-9,The y position within the room to use for getting the cell
tilemap_get_cell_y_at_pixel.htm+html.body.h4:113-3,Returns:
tilemap_get_cell_y_at_pixel.htm+html.body.p:114-3,Integer (y-axis cell position or -1 if there is an error)
tilemap_get_cell_y_at_pixel.htm+html.body.h4:116-3,Example:
tilemap_get_cell_y_at_pixel.htm+html.body.p:117-3,"{ANY_CODE} var lay_id = layer_get_id(""Tiles_Walls"");<br /> var map_id = layer_tilemap_get_id(lay_id);<br /> var _x = tilemap_get_cell_x_at_pixel(map_id, mouse_x, mouse_y);<br /> var _y = tilemap_get_cell_y_at_pixel(map_id, mouse_x, mouse_y);<br /> tiledata = tilemap_get(map_id, _x, _y);"
tilemap_get_cell_y_at_pixel.htm+html.body.p:119-3,The above code uses the retrieved tile map ID to get the cell position from a set of room coordinates and then store the data for any tile found there in an instance variable.
tilemap_get_cell_y_at_pixel.htm+html.body.div.div.div.div:126-9,"Back: <a href=""Tile_Map_Layers.htm"">Tile Map Layers</a>"
tilemap_get_cell_y_at_pixel.htm+html.body.div.div.div.div:127-9,"Next: <a href=""tile_get_empty.htm"">tile_get_empty</a>"
tilemap_get_cell_y_at_pixel.htm+html.body.p:139-1,{SEARCH_RESULT} Page outlining the function tilemap_get_cell_y_at_pixel
