ini_key_exists.htm+html.head.title:55-3,ini_key_exists
ini_key_exists.htm+html.head.title:59-3,ini_key_exists
ini_key_exists.htm+html.body.div.div.div[title]:73-7,ini_key_exists
ini_key_exists.htm+html.body.div.div.div:73-7,ini_key_exists
ini_key_exists.htm+html.body.h1:86-3,ini_key_exists
ini_key_exists.htm+html.body.p:87-3,"This function checks to see if a key exists in the currently open ini and will return <tt>true</tt> if it does or <tt>false</tt> otherwise. This is not a necessary check to prevent errors as, when a key does not exist, reading from a non-existent key will just return a default value. It can be useful to see if an ini file has saved specific data and a few other things, however."
ini_key_exists.htm+html.body.h4:90-3,Syntax:
ini_key_exists.htm+html.body.p:91-3,"ini_key_exists(section, key);"
ini_key_exists.htm+html.body.table.tbody.tr.th:95-9,Argument
ini_key_exists.htm+html.body.table.tbody.tr.th:96-9,Description
ini_key_exists.htm+html.body.table.tbody.tr.td:99-9,section
ini_key_exists.htm+html.body.table.tbody.tr.td:100-9,The section in the open .ini file to check a key in.
ini_key_exists.htm+html.body.table.tbody.tr.td:103-9,key
ini_key_exists.htm+html.body.table.tbody.tr.td:104-9,The key to check for.
ini_key_exists.htm+html.body.h4:109-3,Returns:
ini_key_exists.htm+html.body.p:110-3,Boolean
ini_key_exists.htm+html.body.h4:112-3,Example:
ini_key_exists.htm+html.body.p:113-3,"{ANY_CODE} ini_open(""savedata.ini"");<br /> if !ini_key_exists(""save1"", ""name"")<br /> {nbsp_x4}{ <br /> {nbsp_x4}global.name = ""Player1"";<br /> {nbsp_x4}} <br /> ini_close();"
ini_key_exists.htm+html.body.p:117-3,"This will set variable global.name to ""Player1"" if no such key as ""name"" exists."
ini_key_exists.htm+html.body.div.div.div.div:124-9,"Back: <a href=""Ini_Files.htm"">Ini Files</a>"
ini_key_exists.htm+html.body.div.div.div.div:125-9,"Next: <a href=""ini_section_exists.htm"">ini_section_exists</a>"
ini_key_exists.htm+html.body.p:137-1,{SEARCH_RESULT} Reference page for ini_key_exists
