mouse_x.htm+html.head.title:55-3,mouse_x
mouse_x.htm+html.head.title:59-3,mouse_x
mouse_x.htm+html.body.div.div.div[title]:73-7,mouse_x
mouse_x.htm+html.body.div.div.div:73-7,mouse_x
mouse_x.htm+html.body.h1:89-3,mouse_x
mouse_x.htm+html.body.p:90-3,This <b>read-only</b> variable returns the current x axis position of the mouse within the room.
mouse_x.htm+html.body.h4:92-3,Syntax:
mouse_x.htm+html.body.p:93-3,mouse_x;
mouse_x.htm+html.body.h4:95-3,Returns:
mouse_x.htm+html.body.p:96-3,Real
mouse_x.htm+html.body.h4:98-3,Example:
mouse_x.htm+html.body.p:99-3,"{ANY_CODE} x = median(64, mouse_x, room_width - 64);"
mouse_x.htm+html.body.p:100-3,The above code will maintain the instance at the mouse x position as long as it is within the limits of 64 pixels from either side of the room.
mouse_x.htm+html.body.div.div.div.div:107-9,"Back: <a href=""Mouse_Input.htm"">Mouse Input</a>"
mouse_x.htm+html.body.div.div.div.div:108-9,"Next: <a href=""mouse_y.htm"">mouse_y</a>"
mouse_x.htm+html.body.p:120-1,{SEARCH_RESULT} Reference page for mouse_x
