arcsin.htm+html.head.title:55-3,arcsin
arcsin.htm+html.head.title:63-3,arcsin
arcsin.htm+html.body.div.div.div[title]:77-7,arcsin
arcsin.htm+html.body.div.div.div:77-7,arcsin
arcsin.htm+html.body.h1:94-3,arcsin
arcsin.htm+html.body.p:95-3,"Returns the inverse sine of x, in that if <span class=""inline"">sin(x)=n</span>, <span class=""inline"">arcsin(n)=x</span>, and the resulting number will be between -pi/2 and pi/2."
arcsin.htm+html.body.p:96-3,<b>NOTE</b>: This will only accept a value between -1 and 1 (anything else will throw an error).
arcsin.htm+html.body.p:97-3,"<strong>NOTE</strong>: This function returns a value in radians, not degrees."
arcsin.htm+html.body.h4:99-3,Syntax:
arcsin.htm+html.body.p:100-3,arcsin(x);
arcsin.htm+html.body.table.tbody.tr.th:104-9,Argument
arcsin.htm+html.body.table.tbody.tr.th:105-9,Description
arcsin.htm+html.body.table.tbody.tr.td:108-9,x
arcsin.htm+html.body.table.tbody.tr.td:109-9,The value to return the inverse sine of.
arcsin.htm+html.body.h4:114-3,Returns:
arcsin.htm+html.body.p:115-3,Real
arcsin.htm+html.body.h4:117-3,Example:
arcsin.htm+html.body.p:118-3,{ANY_CODE} val = arcsin(0);
arcsin.htm+html.body.p:119-3,This will set val to 0.
arcsin.htm+html.body.div.div.div.div:126-9,"Back: <a href=""Angles_And_Distance.htm"">Angles And Distance</a>"
arcsin.htm+html.body.div.div.div.div:127-9,"Next: <a href=""arctan.htm"">arctan</a>"
arcsin.htm+html.body.p:139-1,{SEARCH_RESULT} Reference page for arcsin
arcsin.htm+html.body.p:139-49,{INDEX_KEYWORD} arcsin
