current_day.htm+html.head.title:55-3,current_day
current_day.htm+html.head.title:59-3,current_day
current_day.htm+html.body.div.div.div[title]:73-7,current_day
current_day.htm+html.body.div.div.div:73-7,current_day
current_day.htm+html.body.h1:90-3,current_day
current_day.htm+html.body.p:91-3,"This <b>read only</b> variable will return the day as a value from 1 to 31, depending on the month."
current_day.htm+html.body.h4:93-3,Syntax:
current_day.htm+html.body.p:94-3,current_day;
current_day.htm+html.body.h4:96-3,Returns:
current_day.htm+html.body.p:97-3,Real
current_day.htm+html.body.h4:99-3,Example:
current_day.htm+html.body.p:100-3,"{ANY_CODE} draw_text(32, 32, ""Today is "" + string(current_day) + ""/"" + string (current_month) + ""/"" + string(current_year) +""."");"
current_day.htm+html.body.p:101-3,"The above code will draw the day, month and year."
current_day.htm+html.body.div.div.div.div:108-9,"Back: <a href=""Date_And_Time.htm"">Date And TIme</a>"
current_day.htm+html.body.div.div.div.div:109-9,"Next: <a href=""current_weekday.htm"">current_weekday</a>"
current_day.htm+html.body.p:121-1,{SEARCH_RESULT} Reference page for current_day
