current_month.htm+html.head.title:55-3,current_month
current_month.htm+html.head.title:59-3,current_month
current_month.htm+html.body.div.div.div[title]:73-7,current_month
current_month.htm+html.body.div.div.div:73-7,current_month
current_month.htm+html.body.h1:89-3,current_month
current_month.htm+html.body.p:90-3,This <b>read only</b> variable returns the current month as a numeric value where 1 is January and 12 is December.
current_month.htm+html.body.h4:92-3,Syntax:
current_month.htm+html.body.p:93-3,current_month;
current_month.htm+html.body.h4:95-3,Returns:
current_month.htm+html.body.p:96-3,Real
current_month.htm+html.body.h4:98-3,Example:
current_month.htm+html.body.p:99-3,"{ANY_CODE} draw_text((32, 32, ""Today is "" + string(current_day) + ""/"" + string (current_month) + ""/"" + string(current_year) +""."");"
current_month.htm+html.body.p:100-3,"The above code will draw the day, month and year."
current_month.htm+html.body.div.div.div.div:107-9,"Back: <a href=""Date_And_Time.htm"">Date And TIme</a>"
current_month.htm+html.body.div.div.div.div:108-9,"Next: <a href=""current_year.htm"">current_year</a>"
current_month.htm+html.body.p:120-1,{SEARCH_RESULT} Reference page for current_month
