irandom.htm+html.head.title:55-3,irandom
irandom.htm+html.head.title:59-3,irandom
irandom.htm+html.body.div.div.div[title]:73-7,irandom
irandom.htm+html.body.div.div.div:73-7,irandom
irandom.htm+html.body.h1:90-3,irandom
irandom.htm+html.body.p:91-3,"This very useful function only returns integers (whole numbers). So, for example, to get a random number from 0 to 9 you can use <tt>irandom(9)</tt> and it will return a number from 0 to 9 <i>inclusive</i>. Note that floats can also be used but the upper value after the point will be excluded, so <tt>irandom(9.7)</tt> will return a value from 0 to 9 only. The function has an upper bound of $7fffffffffffffffLL, so care should be taken if using very large numbers."
irandom.htm+html.body.p:93-3,"<b>NOTE:</b> This function will return the same value every time the game is run afresh due to the fact that GameMaker Studio 2 generates the same initial random seed every time to make debugging code a far easier task. To avoid this behaviour use <span style=""font-size:1px;""><a href=""randomise.htm""><tt style=""font-size: 14px"">randomise()</tt></a></span> at the start of your game."
irandom.htm+html.body.h4:96-3,Syntax:
irandom.htm+html.body.p:97-3,irandom(n);
irandom.htm+html.body.table.tbody.tr.th:101-9,Argument
irandom.htm+html.body.table.tbody.tr.th:102-9,Description
irandom.htm+html.body.table.tbody.tr.td:105-9,n
irandom.htm+html.body.table.tbody.tr.td:106-9,The upper range from which the random number will be selected.
irandom.htm+html.body.h4:111-3,Returns:
irandom.htm+html.body.p:112-3,Integer
irandom.htm+html.body.h4:114-3,Example:
irandom.htm+html.body.p:115-3,{ANY_CODE} if (irandom(9) == 1)<br /> {nbsp_x3}{ <br /> {nbsp_x3}score += 100;<br /> {nbsp_x3}}
irandom.htm+html.body.p:118-3,This will produce a one in ten (since 0 is included) chance of adding 100 to the score.
irandom.htm+html.body.div.div.div.div:125-9,"Back: <a href=""Number_Functions.htm"">Number Functions</a>"
irandom.htm+html.body.div.div.div.div:126-9,"Next: <a href=""irandom_range.htm"">irandom_range</a>"
irandom.htm+html.body.p:138-1,{SEARCH_RESULT} Reference page for irandom
irandom.htm+html.body.p:138-50,{INDEX_KEYWORD} irandom
