physics_set_density.htm+html.head.title:55-3,physics_set_density
physics_set_density.htm+html.head.title:59-3,physics_set_density
physics_set_density.htm+html.body.div.div.div[title]:73-7,physics_set_density
physics_set_density.htm+html.body.div.div.div:73-7,physics_set_density
physics_set_density.htm+html.body.h1:86-3,physics_set_density
physics_set_density.htm+html.body.p:87-3,"When you bind a fixture to an instance using <a href=""physics_fixture_bind.htm""><tt>physics_fixture_bind()</tt></a> this returns an ""id"" for the bound fixture. You can use this id to set the density value of the bound fixture, <i>not</i> the ""base"" fixture, at any time using this function."
physics_set_density.htm+html.body.h4:90-3,Syntax:
physics_set_density.htm+html.body.p:91-3,"physics_set_density(fixture, density)"
physics_set_density.htm+html.body.table.tbody.tr.th:95-9,Argument
physics_set_density.htm+html.body.table.tbody.tr.th:96-9,Description
physics_set_density.htm+html.body.table.tbody.tr.td:99-9,fixture
physics_set_density.htm+html.body.table.tbody.tr.td:100-9,the id of the bound fixture
physics_set_density.htm+html.body.table.tbody.tr.td:103-9,density
physics_set_density.htm+html.body.table.tbody.tr.td:104-9,the new density value to apply
physics_set_density.htm+html.body.h4:109-3,Returns:
physics_set_density.htm+html.body.p:110-3,N/A
physics_set_density.htm+html.body.h4:112-3,Example:
physics_set_density.htm+html.body.p:113-3,"{ANY_CODE} var density = physics_get_density(fix_id);<br /> physics_set_density(fix_id, density - 0.1);"
physics_set_density.htm+html.body.p:114-3,The code above gets the current density value for the bound physics properties of the instance and then sets them to a different value.
physics_set_density.htm+html.body.div.div.div.div:121-9,"Back: <a href=""Fixtures.htm"">Fixtures</a>"
physics_set_density.htm+html.body.div.div.div.div:122-9,"Next: <a href=""physics_set_restitution.htm"">physics_set_restitution</a>"
physics_set_density.htm+html.body.p:134-1,{SEARCH_RESULT} Reference page for physics_set_density
