Help.htm+html.head.title:55-3,Help
Help.htm+html.head.title:59-3,Help
Help.htm+html.body.div.div.div[title]:73-7,Help
Help.htm+html.body.div.div.div:73-7,Help
Help.htm+html.body.h1:86-3,Help Preferences
Help.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Help Prefs
Help.htm+html.body.p:88-3,"The help file is designed to operate like a web page and even though the files are stored locally, it requires the use of an external browser to view them. The following settings related to the help file can be changed here:"
Help.htm+html.body.ul.li:90-5,"<strong>Manual Language</strong>: This sets language for the IDE to use. The default is ""English""."
Help.htm+html.body.ul.li:91-5,<strong>Help manual port</strong>: This sets the port number for the manual micro web server to use. The default value is 51291.
Help.htm+html.body.div.div.div.div:99-9,"Back: <a href=""../General_Preferences.htm"">General Preferences</a>"
Help.htm+html.body.div.div.div.div:100-9,"Next: <a href=""Input.htm"">Input Preferences</a>"
Help.htm+html.body.p:112-1,{SEARCH_RESULT} The Help Preferences from the General Preferences section
Help.htm+html.body.p:112-81,{INDEX_KEYWORD} Prefs - General - Help
