Game_Settings.htm+html.head.title:55-3,Game Settings,ゲーム設定
Game_Settings.htm+html.head.title:59-3,Game Settings,ゲーム設定
Game_Settings.htm+html.body.div.div.div[title]:73-7,Game Settings,ゲーム設定
Game_Settings.htm+html.body.div.div.div:73-7,Game Settings,ゲーム設定
Game_Settings.htm+html.body.h1:86-3,Game Settings,ゲーム設定
Game_Settings.htm+html.body.p:87-3,"The following sections are all related to the different GameMaker Studio 2 windows and tools that will affect how your game is run and performs. In general, you will need to set up most of these on a per-game basis, but note that some are optional and not required (like <b>Configurations</b>), while the availablity of others will depend on the licence that you have (like some of the <strong>Game options</strong>).",以下のページでは、ゲームの起動/実行に関係してくるGameMaker Studio 2のツールについて説明されています。基本的にはゲームごとに大半のツールを設定することになりますが、必ずしも設定しなくていいものもあります（<b>構成</b>など）。他のツールについては所有中のライセンスによって異なります（一部の<strong>ゲームオプション</strong>など）。
Game_Settings.htm+html.body.ul.li:91-5,The Room Manager,ルームマネージャー
Game_Settings.htm+html.body.ul.li:92-5,Included Files,インクルードファイル
Game_Settings.htm+html.body.ul.li:93-5,Audio Groups,オーディオグループ
Game_Settings.htm+html.body.ul.li:94-5,Texture Groups,テクスチャグループ
Game_Settings.htm+html.body.ul.li:95-5,Game Options,ゲームオプション
Game_Settings.htm+html.body.ul.li:96-5,Configurations,構成
Game_Settings.htm+html.body.ul.li:97-5,Command Line Parameters,コマンドラインパラメーター
Game_Settings.htm+html.body.div.div.div.div:105-9,"Back: <a href=""../Content.htm"">Index</a>","戻る: <a href=""../Content.htm"">インデックス</a>"
Game_Settings.htm+html.body.div.div.div.div:106-9,"Next: <a href=""../IDE_Tools/Additional_IDE_Tools.htm"">Additional IDE Tools</a>","次へ: <a href=""../IDE_Tools/Additional_IDE_Tools.htm"">その他のIDEツール</a>"
Game_Settings.htm+html.body.p:118-1,{SEARCH_RESULT} Page that lists the different settings options for games,{SEARCH_RESULT} ゲームの各種設定についての一覧ページ
Game_Settings.htm+html.body.p:118-80,{INDEX_KEYWORD} Game Settings,{INDEX_KEYWORD} ゲーム設定
