The_Room_Manager.htm+html.head.title:55-3,The Room Manager,ルームマネージャー
The_Room_Manager.htm+html.head.title:59-3,The Room Manager,ルームマネージャー
The_Room_Manager.htm+html.body.div.div.div[title]:73-7,The Room Manager,ルームマネージャー
The_Room_Manager.htm+html.body.div.div.div:73-7,The Room Manager,ルームマネージャー
The_Room_Manager.htm+html.body.h1:86-3,The Room Manager,ルームマネージャー
The_Room_Manager.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Room Manager,{IMG_TXT} ルームマネージャー
The_Room_Manager.htm+html.body.p:87-3,"When using the <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a>, you can create your rooms and move them between the different folder groups to organise the project in a way that best suits you. However, games in GameMaker Studio 2 generally have rooms that follow a certain order, and at the very least must have a specific <strong>start room</strong> (after the game starts in this room you can use code or actions to go to any room in the game if you wish), which is where the <strong>Room Manager</strong> comes into play.","<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>では作成したルームを、プロジェクトを自分にとって使いやすく整理できるようフォルダグループに移すことができます。ただGameMaker Studio 2のゲームにおいて、ルームには決められた順番があり、<strong>開始ルーム</strong>だけは指定しなくてはならず（ゲームはこのルームから開始され、それからコードやアクションで別のルームに移動できます）、そこで出番となるのが<strong>ルームマネージャー</strong>です。"
The_Room_Manager.htm+html.body.p:90-3,"You can open the room manager by clicking the ""Extras"" button <img_tag=Extras_Menu_Icon:0> at the top of the Asset Browser and selecting it from the menu that opens, or you can simply click <img_tag=LMB_Icon:0> the icon to the left of a room in the asset browser:",ルームマネージャーはアセットブラウザ上部の「追加メニュー」ボタン<img_tag=Extras_Menu_Icon:0>をクリックすると表示されるメニューから開けます。また、アセットブラウザのルームの左に表示されている<img_tag=LMB_Icon:0>アイコンをクリックしても開くことができます。
The_Room_Manager.htm+html.body.p.img[alt]:92-6,{IMG_TXT} Opening The Room Manager,{IMG_TXT} ルームマネージャーの展開
The_Room_Manager.htm+html.body.p:92-3,"Once open, the Room Manager presents you with two different tabs, one for <strong>Room Order</strong> and one for <strong>Room Inheritance</strong>. The room order defines the order in which rooms will be accessed if you are traversing the game literally, using the function <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Rooms/room_goto_next.htm""><span class=""inline"">room_goto_next()</span></a> at the end of each room, and the very top room listed will always be flagged by the ""home"" icon <img_tag=Room_Manager_Home_Room_Icon:0>, which shows you that this room is the designated <em>start </em>room for the game. This icon will also be shown in the Asset browser so you can see clearly which room it is, regardless of the how you have filtered or set up your assets.","ルームマネージャーには2つのタブがあり、それぞれ<strong>ルーム順序</strong>、<strong>ルーム継承関係</strong>に分かれています。ルーム順序とは名前のとおり、<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Rooms/room_goto_next.htm""><span class=""inline"">room_goto_next()</span></a>関数によってゲームを最初から最後まで辿っていくときに開けるルームの順番となります。先頭のルームには「ホーム」アイコン<img_tag=Room_Manager_Home_Room_Icon:0>が表示され、ゲームの<em>開始</em>ルームとして指定されます。ホームアイコンはアセットブラウザ内でも表示されるため、アセットやフィルターの設定を問わず、どのルームが開始ルームなのかすぐに見分けることができます。"
The_Room_Manager.htm+html.body.p:96-3,"You can change the order of rooms by simply clicking <img_tag=LMB_Icon:0> and dragging the room you want to move up or down the list, and you can use <img_tag=Shift_Icon:0> and/or <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> to select multiple rooms then click and drag them to move them altogether:",ルームの順番はリストのルームをドラッグして移動させるだけで変更できます。<img_tag=Shift_Icon:0>または<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらクリックすると複数のルームを選択し、まとめて移動することも可能です。
