Animation_Curves.htm+html.head.title:55-3,Animation Curves,アニメーションカーブ
Animation_Curves.htm+html.head.title:59-3,Animation Curves,アニメーションカーブ
Animation_Curves.htm+html.body.div.div.div[title]:73-7,Animation Curves,アニメーションカーブ
Animation_Curves.htm+html.body.div.div.div:73-7,Animation Curves,アニメーションカーブ
Animation_Curves.htm+html.body.h1:86-3,The Animation Curve Editor,アニメーションカーブエディタ
Animation_Curves.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Animation Curve Editor,{IMG_TXT} アニメーションカーブエディタ
Animation_Curves.htm+html.body.p:87-3,"An animation curve is an asset that contains one or more curves that represent how a value changes over time, and can use <a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a>, <a class=""tooltip"" title=""TITLE_KEY::smooth_interpolation"">smooth interpolation</a> or <a class=""tooltip"" title=""TITLE_KEY::bezier_interpolation"">bezier interpolation</a> to go between different points in the curve. The values you set on the vertical axis can be between any two values (between -1 and 1 by default) and the duration along the horizontal axis is <em>always </em>normalised form 0 to 1, making it easy to target different time ranges using multipliers in your game code or stretch them to fit a track in the <a href=""Sequence_Properties/Using_Animation_Curves.htm"">Sequences Editor</a>.","アニメーションカーブは 1 つ以上のカーブ（曲線）からなるアセットで、このカーブは時間による値の変化を表しており、カーブのポイント間は<a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">リニア補間</a>、<a class=""tooltip"" title=""TITLE_KEY::smooth_interpolation"">スムース補間</a>、<a class=""tooltip"" title=""TITLE_KEY::bezier_interpolation"">ベジェ補間</a>によって繋げることができます。縦軸は値であり、2 つの値（デフォルトでは-1 から 1） の中間から設定します。横軸は再生時間であり、<em>必ず</em>0から1までの数値に正規化されます。そのためゲームコードの乗数を用いて別の時間範囲を対象としたり、<a href=""Sequence_Properties/Using_Animation_Curves.htm"">シーケンスエディタ</a>からトラックに合わせて引き伸ばすといったことが簡単にできます。"
Animation_Curves.htm+html.body.p:89-3,"Animation curves are comprised of ""channels"" and each channel can have its own curve settings, which permits you to - for example - describe a spacial position with two channels for the x/y location, or a colour gradient with 4 channels to represent a colour format. Animation curve assets can be used when working with Sequences and can also be accessed using code, making them a powerful tool when creating your games.",アニメーションカーブは「チャンネル」で構成されており、それぞれのチャンネルは個別にカーブを設定します。たとえば 2 つのチャンネルを X / Y の座標にすれば空間上の位置をカーブで動かせたり、4つのチャンネルをカラーフォーマットにすれば色の変化をカーブで表現できます。
Animation_Curves.htm+html.body.p:91-3,When you first create an animation curve asset the editor window will open and present you with the following sections:,アニメーションカーブアセットを作成すると、まずエディタのウィンドウが開き、次のような領域が表示されます。
Animation_Curves.htm+html.body.p:92-3,"<span data-open-text=""true"">Curve Name</span><span data-close-text=""true"">Curve Name</span>","<span data-open-text=""true"">カーブ名</span><span data-close-text=""true"">カーブ名</span>"
Animation_Curves.htm+html.body.div.p:94-5,"Here you can give your animation curve a unique name (alpha numeric characters and the ""_"" under-bar symbol only). This name is what will be used to refer to the curve and all its channels when accessing it through code or in a sequence.","アニメーションカーブに専用の名前をつけることができます（英数字と ""_"" 記号のみ使用可能です）。コードまたはシーケンスでの利用時、この名前からカーブとそのチャンネルを参照します。"
Animation_Curves.htm+html.body.p:97-3,"<span data-open-text=""true"">Channel List</span><span data-close-text=""true"">Channel List</span>","<span data-open-text=""true"">チャンネルリスト</span><span data-close-text=""true"">チャンネルリスト</span>"
Animation_Curves.htm+html.body.div.p:99-5,"The channel list is where you can add and name the different channels that will comprise your animation curve asset. By default when you first create an animation curve, a channel will have been added for you and you can add further channels by clicking the "" <strong>Add Channel</strong>"" button at the bottom. Each channel must have a unique name (using alpha numeric characters and the ""_"" under-bar symbol only), and you can also set the colour for the channel by double clicking <img_tag=LMB_Icon:0> on the colour swatch to the left, which will open the colour picker to let you choose a new colour. To rename the channel, you can do a slow double click <img_tag=LMB_Icon:1> and rename, and you can also use the right mouse button <img_tag=RMB_Icon:0> to open a menu where you can choose to rename, change the colour or delete the channel.",チャンネルリストでは、アニメーションカーブアセットを構成するチャンネルの追加、名前変更ができます。デフォルトではアニメーションカーブ作成時に1つのチャンネルが追加されます。下にある「<strong>チャンネル追加</strong>」ボタンをクリックすると新しいチャンネルを追加できますが、チャンネルはそれぞれ別の名前にしなくてはなりません。また、左側にある色見本をダブルクリック<img_tag=LMB_Icon:0>すると、カラーピッカーを開いてチャンネルの色を設定できます。チャンネルの名前は、ゆっくりとダブルクリック<img_tag=LMB_Icon:1>することで変更できます。また、右クリック<img_tag=RMB_Icon:0>で開けるメニューからは、名前の変更、色の変更、チャンネルの削除が可能です。
Animation_Curves.htm+html.body.div.p:103-5,"Channels can be expanded by clicking the arrow beside the name to show each of the points on the channel curve, and these points can be edited manually by clicking the current value and typing in the new value:",名前の横にある矢印アイコンをクリックすると、チャンネルを展開してカーブのポイントを表示します。各ポイントは現在値をクリックし、新しい値を入力することで手動編集できます。
Animation_Curves.htm+html.body.div.p.img[alt]:104-25,{IMG_TXT} Expanded Channel List,{IMG_TXT} チャンネルリストを展開
Animation_Curves.htm+html.body.div.p:104-5,"You can toggle the channel visibility by clicking on the ""eye"" icon <img_tag=Eye_Icon:0>, or delete the channel by clicking the ""bin"" icon <img_tag=Delete_Channel_Icon:0>. You can also change the way the channel flows from point to point by clicking the channel type icon <img_tag=Channel_Type_Icon:0> and selecting one of the following options:",「目」アイコン<img_tag=Eye_Icon:0>をクリックすると、チャンネルの表示が切り替わります。「ゴミ箱」アイコン<img_tag=Delete_Channel_Icon:0>をクリックするとチャンネルを削除します。さらにチャンネルタイプアイコン<img_tag=Channel_Type_Icon:0>をクリックすると、次の選択項目からポイントの繋ぎ方を変更できます。
Animation_Curves.htm+html.body.div.ul.li:107-7,<strong>Linear</strong>: This wll create a linear progression between points on the channel,<strong>リニア</strong>: チャンネルのポイント間を線形進行させます。
Animation_Curves.htm+html.body.div.ul.li:108-7,"<strong>Smooth</strong>: This will use <a class=""tooltip"" title=""TITLE_KEY::catmull-rom_interpolation"">catmull-rom interpolation</a> to create a smooth progression between points on the channel","<strong>スムース</strong>: <a class=""tooltip"" title=""TITLE_KEY::catmull-rom_interpolation"">キャットムル・ロム補間</a>によって、チャンネルのポイント間をなだらかに進行させます。"
Animation_Curves.htm+html.body.div.ul.li:109-7,"<strong>Bezier</strong>: This will use Bézier curve mathematics to create a smooth progression between points on the channel, where you can control how the curve looks by manipulating ""handles"" on the points.",<strong>ベジェ</strong>: ベジェ曲線計算によって、チャンネルのポイント間をなだらかに進行させます。ポイントの「ハンドル」を操作することでカーブの形状を調整可能です。
Animation_Curves.htm+html.body.div.p.img[alt]:111-25,{IMG_TXT} Example using the Channel List buttons,{IMG_TXT} チャンネルリストボタンの使い方
Animation_Curves.htm+html.body.div.p:112-5,Note that changing the curve type for a channel will apply this type to <em>all</em> channels.,チャンネルのカーブタイプを変更した場合、<em>すべて</em>のチャンネルに同じタイプが適用されます。
Animation_Curves.htm+html.body.p:115-3,"<span data-open-text=""true"">Channel Range</span><span data-close-text=""true"">Channel Range</span>","<span data-open-text=""true"">チャンネル範囲</span><span data-close-text=""true"">チャンネル範囲</span>"
Animation_Curves.htm+html.body.div.p:117-5,"The Channel Range button is used for setting the visual vertical range for the Channel Editor. By default this will be set from -1 to 1, but clicking this button will open the following window:",チャンネル範囲ボタンをクリックすると、チャンネルエディタの縦の表示範囲を設定できます。次のウィンドウから設定可能で、デフォルトでは-1 から 1 となっています。
