Notes.htm+html.head.title:55-3,Notes,ノート
Notes.htm+html.head.title:59-3,Notes,ノート
Notes.htm+html.body.div.div.div[title]:73-7,Notes,ノート
Notes.htm+html.body.div.div.div:73-7,Notes,ノート
Notes.htm+html.body.h1:86-3,The Note Editor,ノートエディタ
Notes.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Note Editor,{IMG_TXT} ノートエディタ
Notes.htm+html.body.p:87-3,"The <strong>Note Editor</strong> will open a code/script window where you can keep notes and code snippets or any other information that you consider relevant to the project. You can create multiple notes and name them from the right mouse button <img alt=""{IMG_TXT} RMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_RMB.png"" style=""width: 100%; max-width: 21px;"" /> menu in the <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a>. Notes can also be grouped and re-ordered like any other asset.","<strong>ノートエディタ</strong>ではコード/スクリプトウィンドウを開き、メモ書きやコードスニペット、プロジェクトに関する情報などを書き残しておくことができます。ノートは複数作成でき、<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>のノートを右クリック<img alt=""{IMG_TXT} RMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_RMB.png"" style=""width: 100%; max-width: 21px;"" />すると名前を変えることができます。他のアセットと同じように、ノートもグループに入れたり、並び替えができます。"
Notes.htm+html.body.p:90-3,"If you have imported a project created using a previous version of GameMaker Studio, then you will also find a <a href=""../Additional_Information/Compatibility_Scripts.htm"">Compatibility Report</a> included as a note in this section.","以前のバージョンのGameMaker Studioで作成されたプロジェクトをインポートした場合、<a href=""../Additional_Information/Compatibility_Scripts.htm"">互換性レポート</a>がノートとして含まれます。"
Notes.htm+html.body.div.div.div.div:97-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>","戻る: <a href=""The_Asset_Editors.htm"">アセットエディタ</a>"
Notes.htm+html.body.div.div.div.div:98-9,"Next: <a href=""Objects.htm"">Objects</a>","次へ: <a href=""Objects.htm"">オブジェクト</a>"
Notes.htm+html.body.p:111-1,{SEARCH_RESULT} Page detailing how the notes editor works,{SEARCH_RESULT} ノートエディタの詳しい仕組みについてのページ
Notes.htm+html.body.p:111-65,{INDEX_KEYWORD} Note Editor,{INDEX_KEYWORD} ノートエディタ
