Sequences.htm+html.head.title:55-3,Sequences,シーケンス
Sequences.htm+html.head.title:59-3,Sequences,シーケンス
Sequences.htm+html.body.div.div.div[title]:73-7,Sequences,シーケンス
Sequences.htm+html.body.div.div.div:73-7,Sequences,シーケンス
Sequences.htm+html.body.h1:86-3,The Sequences Editor,シーケンスエディタ
Sequences.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Sequence Editor,{IMG_TXT} シーケンスエディタ
Sequences.htm+html.body.p:88-3,"A <strong>sequence </strong>is essentially a collection of assets that perform a dynamic animation over time. They can contain sprites, instances, sounds and other things, and each of these can be set to move or change colour, or start/stop animating over time within the sequence itself. The assets you add are assigned to specific <strong>tracks </strong>within the sequence and these tracks can then have different attributes applied to them - called <strong>keyframes</strong> - which can be static or change over time. All editing of a sequence takes place in the <strong>Sequence Editor</strong> which is essentially comprised of three areas:",<strong>シーケンス</strong>とは、動的なアニメーションを再生するための複合型アセットです。スプライト、インスタンス、サウンドといったアセットを追加でき、移動や色の変更、アニメーションの再生/停止といった動作をシーケンス内だけで行なわせることができます。シーケンスに追加されたアセットは特定の<strong>トラック</strong>に割り当てられます。トラックにはさまざまな属性（<strong>キーフレーム</strong>）を適用でき、それらは時間の経過によって変化させることができます。シーケンスの編集はすべて<strong>シーケンスエディタ</strong>で行います。このエディタは次の3つの領域から構成されています。
Sequences.htm+html.body.ul.li:92-5,the <strong>Canvas </strong>- where you place the assets that make up the sequence,<strong>キャンバス </strong>- シーケンスを構成するアセットを配置していく領域
Sequences.htm+html.body.ul.li:93-5,the <strong>Track Panel </strong>- where you add/remove <strong>asset tracks</strong> and <strong>parameter tracks</strong> to your sequence,<strong>トラックパネル </strong>- シーケンスに<strong>アセットトラック</strong>と<strong>パラメータートラック</strong>を追加/削除する領域
Sequences.htm+html.body.ul.li:94-5,the <strong>Dope Sheet</strong> - where you add/remove/edit the <strong>keyframes</strong> of the tracks and control how they behave over time.,<strong>ドープシート</strong> - トラックの<strong>キーフレーム</strong>を追加/削除/編集し、時間による動きを管理する領域
Sequences.htm+html.body.p:96-3,"Note too that you can have sequences within sequences to create complex animations and effects, and sequences can also be accessed and changed through code to give you as much control as possible over how they will be displayed and used in your game. For more information on the coded aspect of sequences, please see the section on the <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sequences/Sequences.htm"">Sequences Functions</a>.","シーケンスの中にシーケンスを入れれば複雑なアニメーションやエフェクトを作成でき、さらにシーケンスはコードから参照して変更を加えられるため、ゲーム内でどのように見えるか、どのように扱われるかを可能な限りコントロールできます。シーケンスのコード面での詳細については<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sequences/Sequences.htm"">シーケンス関数</a>のセクションを参照してください。"
Sequences.htm+html.body.p:98-3,"Before continuing to explain the details of the editor, we'll take a moment to explain how a sequence is created as well as some keywords that are used in the descriptions so you'll have a more thorough understanding of how the Sequences Editor works. The general workflow for creating a sequence is as follows:",エディタについて詳しく説明する前に、シーケンスをどうやって作るのか、さらには文中で使われる用語についてお伝えしましょう。シーケンスエディタの仕組みが理解しやすくなるはずです。シーケンス作りは次のような手順からなります。
Sequences.htm+html.body.ul.li:101-5,"First you'd create your sequence from the <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a>, which will open it the Sequences Editor.","まずは<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>からシーケンスを作成し、シーケンスエディタで開きましょう。"
Sequences.htm+html.body.ul.li:102-5,"Next you'd drag an asset (sprite, object, sound or sequence) into the editor canvas.",次にアセット（スプライト、オブジェクト、またはシーケンス）をエディタのキャンバスにドラッグしてください。
Sequences.htm+html.body.ul.li:103-5,"This will create an <a class=""tooltip"" title=""TITLE_KEY::asset_track"">asset track</a> in the <strong>Track Panel</strong>, and add an <a class=""tooltip"" title=""TITLE_KEY::asset_key"">asset key</a> to the <a class=""tooltip"" title=""TITLE_KEY::Dope_Sheet"">Dope Sheet</a>. The asset track is simply the name of the track that contains the asset, while the asset key is a bar that is drawn to symbolise the number of frames that the asset will be animated over in the sequence.","<strong>トラックパネル</strong>に<a class=""tooltip"" title=""TITLE_KEY::asset_track"">アセットトラック</a>が作成され、<a class=""tooltip"" title=""TITLE_KEY::Dope_Sheet"">ドープシート</a>に<a class=""tooltip"" title=""TITLE_KEY::asset_key"">アセットキー</a>が追加されます。アセットトラックとは、アセットが含まれているトラック名のことであり、アセットキーとは、アセットのアニメーション実行フレーム数を表しているバーのことです。"
Sequences.htm+html.body.ul.li:104-5,"At this point, you'll usually want to position the asset in the canvas at its initial position for the start of the sequence, and add in any initial transforms, like scale or rotation.",この段階では、キャンバスに置かれたアセットをシーケンス開始時の初期位置に動かし、さらに拡大縮小や回転といった初期変形を加えることになります。
Sequences.htm+html.body.ul.li:105-5,"When you are happy with the initial settings, you will want to record the <strong>parameter keys</strong> (or <a class=""tooltip"" title=""TITLE_KEY::keyframe"">keyframe</a><span class=""glossextra""></span>) - which is simply the name given to the values for scale, rotation and position that a specific asset key has at a any point in the dope sheet timeline.","納得いくよう初期設定ができたら、<strong>パラメーターキー</strong>（もとい<a class=""tooltip"" title=""TITLE_KEY::keyframe"">キーフレーム</a><span class=""glossextra""></span>）を記録しましょう。パラメーターキーとはスケール、回転、位置などの値を指す名前であり、アセットキーはこのパラメーターキーを、ドープシートタイムラインの任意地点に記録できます。"
Sequences.htm+html.body.ul.li:107-5,"Next you'd change the position of the <a class=""tooltip"" title=""TITLE_KEY::playhead"">playhead</a> (the current play position in the dope sheet timeline) and then move or change the asset transforms and record another parameter key.","さらに<a class=""tooltip"" title=""TITLE_KEY::playhead"">再生ヘッド</a>（ドープシートタイムラインでの現在の再生位置）を移動させ、アセットを動かしたり変形させて次のパラメーターキーを記録してください。"
Sequences.htm+html.body.ul.li:108-5,"All parameter keys are stored in additional <a class=""tooltip"" title=""TITLE_KEY::parameter_tracks"">parameter tracks</a> which are a subset of tracks under the main asset track in the Track Panel, and you can edit the parameter key data for each parameter in the track editor.","パラメーターキーは追加された<a class=""tooltip"" title=""TITLE_KEY::parameter_tracks"">パラメータートラック</a>に保存されます。パラメータートラックとは、トラックパネルのメインアセットトラックより下にできるサブセットトラックのことです。各パラメーターのキーデータはトラックエディタから編集可能です。"
Sequences.htm+html.body.ul.li:110-5,"Now you would repeat the above process for the length of the sequence, moving, rotating and scaling the asset as required, and then adding more assets as you need them.",あとはアセットを移動、回転、拡大縮小させたり、足りないアセットがあれば追加するなど、上記の手順をシーケンスの最後まで繰り返すことになります。
