"Seek_Buffer.htm+html.head.title:55-3","Seek Buffer","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
"Seek_Buffer.htm+html.head.title:59-3","Seek Buffer","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
"Seek_Buffer.htm+html.body.div.div.div[title]:73-7","Seek Buffer","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
"Seek_Buffer.htm+html.body.div.div.div:73-7","{WITH_ENG}Seek Buffer","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
#CSV_COMMENT_OUT#"Seek_Buffer.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Seek_Buffer.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Seek_Buffer.htm+html.body.h1.img[alt]:86-7","{IMG_TXT} Seek Buffer Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
"Seek_Buffer.htm+html.body.h1:86-3","{WITH_ENG} Seek Buffer","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
"Seek_Buffer.htm+html.body.p:87-3","This action can be used to move (seek) to a position within a buffer. You supply the unique buffer ID value as returned by the action <a href=""Create_Buffer.htm"">Create Buffer</a> and then the offset value in bytes to move to. The offset value will be applied from the <i>start</i> of the buffer, so calling this function will move the read/write position to the start of the the buffer then move the number of bytes given along and position the new read/write position there. However, if you flag the offset as relative, it will move the read/write position forward (or backwards if the offset is a negative value) from the current position.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
"Seek_Buffer.htm+html.body.h4:91-3","Action Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
"Seek_Buffer.htm+html.body.p.img[alt]:92-6","{IMG_TXT} Seek Buffer Action","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
"Seek_Buffer.htm+html.body.h4:93-3","Arguments:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FBuffers%2FSeek_Buffer.htm"
