"Collision_Actions.htm+html.head.title:55-3","Collision Actions","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm"
"Collision_Actions.htm+html.head.title:59-3","Collision Actions","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm"
"Collision_Actions.htm+html.body.div.div.div[title]:73-7","Collision Actions","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm"
"Collision_Actions.htm+html.body.div.div.div:73-7","{WITH_ENG}Collision Actions","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm"
#CSV_COMMENT_OUT#"Collision_Actions.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Collision_Actions.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Collision_Actions.htm+html.body.h1:86-3","Collision Action Library","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm"
"Collision_Actions.htm+html.body.p.img[alt]:87-6","{IMG_TXT} Collision Action Library","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm"
"Collision_Actions.htm+html.body.p:88-3","<span>When planning motions or deciding on certain actions, it is often important to see whether there are collisions with other objects at certain places within the game world, and often choosing the right collision for the job is the most important task of all. </span>GameMaker Studio 2<span> has a number of actions to help you deal with collisions correctly and in accordance with the needs of your project:</span>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm"
"Collision_Actions.htm+html.body.table.tbody.tr.td.img[alt]:94-54","{IMG_TXT} If Any Object At Place Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FCollisions%2FCollision_Actions.htm"
