"Set_Map_Value.htm+html.head.title:55-3","Set Map Value","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.head.title:59-3","Set Map Value","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.div.div.div[title]:73-7","Set Map Value","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.div.div.div:73-7","{WITH_ENG}Set Map Value","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
#CSV_COMMENT_OUT#"Set_Map_Value.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Set_Map_Value.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Set_Map_Value.htm+html.body.h1.img[alt]:86-7","{IMG_TXT} Set Map Value Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.h1:86-3","{WITH_ENG} Set Map Value","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.p:87-3","With this action you can add a key/value pair into the map data structure. You supply the variable that holds the map index (as returned by the action <a href=""Create_Map.htm"">Create Map</a>) and then give a ""key"" (which is the identifier within the map for a value), and then the ""value"" to be associated with that key. Both keys can be either integer values (like 0, 200, 36712, etc...) or strings (like ""Name"", ""Shield"" etc...), but the value can be any valid data type.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.h4:91-3","Action Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.p.img[alt]:92-6","{IMG_TXT} Set Map Value Action","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.h4:93-3","Arguments:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.table.tbody.tr.th:97-9","Argument","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.table.tbody.tr.th:98-9","Description","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.table.tbody.tr.td:101-9","Map","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.table.tbody.tr.td:102-9","The index (stored in a variable) of the map to set","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
"Set_Map_Value.htm+html.body.table.tbody.tr.td:105-9","Key","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Structures%2FSet_Map_Value.htm"
