"String_To_Number.htm+html.head.title:55-3","String To Number","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.head.title:59-3","String To Number","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.div.div.div[title]:73-7","String To Number","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.div.div.div:73-7","{WITH_ENG}String To Number","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
#CSV_COMMENT_OUT#"String_To_Number.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"String_To_Number.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"String_To_Number.htm+html.body.h1.img[alt]:86-7","{IMG_TXT} String To Number Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.h1:86-3","{WITH_ENG} String To Number","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.p:87-3","This action can convert a string into a number. You provide the string to change and then give a target variable to return the real number back to (this variable can be flagged as a temporary local variable). Note that if the string has any characters other than numbers and a decimal point, it will <i>not</i> be converted, although if the string <i>starts</i> with a number then those will be converted and the rest of the string excluded. It is important to note that when passing decimals into this action, the returned string will be rounded to <i>two</i> decimal places only. Below is a table of input values and what you'd expect returned","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.table.tbody.tr.th:93-9","String","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.table.tbody.tr.th:94-9","Returned Value","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.table.tbody.tr.td:97-9","""123""","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.table.tbody.tr.td:98-9","123","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.table.tbody.tr.td:101-9","""123 Hello World""","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
"String_To_Number.htm+html.body.table.tbody.tr.td:102-9","123","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FData_Types%2FString_To_Number.htm"
