"Open_Ini_File.htm+html.head.title:55-3","Open Ini File","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.head.title:59-3","Open Ini File","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.div.div.div[title]:73-7","Open Ini File","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.div.div.div:73-7","{WITH_ENG}Open Ini File","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
#CSV_COMMENT_OUT#"Open_Ini_File.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Open_Ini_File.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Open_Ini_File.htm+html.body.h1.img[alt]:86-7","{IMG_TXT} Open Ini File Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.h1:86-3","{WITH_ENG} Open Ini File","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.p:87-3","With this action you can open an Ini file for reading and/or writing. If the Ini file does not exist at the location you are checking, GameMaker Studio 2 may create one, but <i>only</i> if you write data to it. If you have only read information from the Ini file, then the default values for the read function will be returned, but the Ini file will not actually be created.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.p:89-3","Please note that you can only have <i>one Ini file open at any one time</i> and remember to use <a href=""Close_Ini_File.htm"">Close Ini File</a> once you're finished reading/writing from the Ini file as the information is not actually stored to disk until then (it is stored in memory until the file is closed).","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.h4:92-3","Action Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.p.img[alt]:93-6","{IMG_TXT} Open Ini File Action","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.h4:94-3","Arguments:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.table.tbody.tr.th:98-9","Argument","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.table.tbody.tr.th:99-9","Description","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.table.tbody.tr.td:102-9","Filename","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.table.tbody.tr.td:103-9","The name - as a string and with the <tt>.ini</tt> extension - of the file to open","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.h4:108-3","Example:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.p.img[alt]:109-6","{IMG_TXT} Open Ini File Example","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.p:109-3","The above action block code will open an ini file for use, then get the value associated with the ""name"" key under the ""player"" header. If the name returned matches the default name value (ie: the file, section or key does <i>not</i> exist) then the file has a global variable written to it before being closed (and writing the new data to disk).","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.div.div.div.div:118-9","Back: <a href=""File_Actions.htm"">File Actions</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.div.div.div.div:119-9","Next: <a href=""Close_Ini_File.htm"">Close Ini File</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
#CSV_COMMENT_OUT#"Open_Ini_File.htm+html.body.div.h5:122-5","© Copyright YoYo Games Ltd. 2020 All Rights Reserved",""
"Open_Ini_File.htm+html.body.p:131-1","{SEARCH_RESULT} Page that explains the Open Ini File action","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
"Open_Ini_File.htm+html.body.p:131-67","{INDEX_KEYWORD} DnD™ Action - Open Ini File","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FFiles%2FOpen_Ini_File.htm"
