"Instance_Variable_Actions.htm+html.head.title:55-3","Instance Variable Actions","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm"
"Instance_Variable_Actions.htm+html.head.title:59-3","Instance Variable Actions","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm"
"Instance_Variable_Actions.htm+html.body.div.div.div[title]:73-7","Instance Variable Actions","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm"
"Instance_Variable_Actions.htm+html.body.div.div.div:73-7","{WITH_ENG}Instance Variable Actions","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm"
#CSV_COMMENT_OUT#"Instance_Variable_Actions.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Instance_Variable_Actions.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Instance_Variable_Actions.htm+html.body.h1:86-3","Instance Variable Action Library","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm"
"Instance_Variable_Actions.htm+html.body.p.span.img[alt]:87-12","{IMG_TXT} Instance Variable Action Library","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm"
"Instance_Variable_Actions.htm+html.body.p:88-3","The <b>Instance Variables</b> actions are designed to get you started when creating a game and are used to create and maintain specific instance scope variables for <tt>score</tt>, <tt>lives</tt> and <tt>health</tt> (you can find out more about variable scope <a href=""../../../GameMaker_Language/GML_Overview/Variables_And_Variable_Scope.htm"">here</a>). These actions will create these variables for you at any time they are used and are meant more for convenience or for beginners, and if you need more complex control over game values you should be making your own variables using the appropriate actions (see <a href=""../Common/Common_Actions_Library.htm"">here</a>)","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm"
"Instance_Variable_Actions.htm+html.body.p:91-3","The following actions exist for using these <b>Instance Variables</b>:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FInstance_Vars%2FInstance_Variable_Actions.htm"
