"Set_Point_Direction.htm+html.head.title:55-3","Set Point Direction","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm"
"Set_Point_Direction.htm+html.head.title:59-3","Set Point Direction","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm"
"Set_Point_Direction.htm+html.body.div.div.div[title]:74-7","Set Point Direction","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm"
"Set_Point_Direction.htm+html.body.div.div.div:74-7","{WITH_ENG}Set Point Direction","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm"
#CSV_COMMENT_OUT#"Set_Point_Direction.htm+html.body.div.div.div[title]:77-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Set_Point_Direction.htm+html.body.div.div.div:77-7","Click here to see this page in full context",""
"Set_Point_Direction.htm+html.body.h1.img[alt]:87-7","{IMG_TXT} Set Point Direction Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm"
"Set_Point_Direction.htm+html.body.h1:87-3","{WITH_ENG} Set Point Direction","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm"
"Set_Point_Direction.htm+html.body.p:88-3","This action is used to set a direction from a vector formed by the current position of the instance and the position given. You supply the x and y position to ""point"" at - these can be flagged as relative to the instance position - and the direction from the instance to that point will be used for the instance.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm"
"Set_Point_Direction.htm+html.body.h4:91-3","Action Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FMovement%2FSet_Point_Direction.htm"
