"Set_Sequence_Position.htm+html.head.title:55-3","Set Sequence Position","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.head.title:59-3","Set Sequence Position","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.div.div.div[title]:73-7","Set Sequence Position","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.div.div.div:73-7","{WITH_ENG}Set Sequence Position","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
#CSV_COMMENT_OUT#"Set_Sequence_Position.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Set_Sequence_Position.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Set_Sequence_Position.htm+html.body.h1.img[alt]:86-7","{IMG_TXT} Set Sequence Position Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.h1:86-3","{WITH_ENG} Set Sequence Position","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.p:87-3","With this action you can set the position for the given sequence element in the room. You supply the sequence element ID (as returned by the action <a href=""Create_Sequence_Element.htm"">Create Sequence</a>), and then the new X and Y position. If you tick the ""relative"" checkbox, then the values given for X and Y will be added to the current sequence position, otherwise they will be an absolute position.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.h4:90-3","Action Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.p.img[alt]:91-6","{IMG_TXT} Set Sequence Position Action","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.h4:92-3","Arguments:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.table.tbody.tr.th:97-11","Argument","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.table.tbody.tr.th:98-11","Description","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.table.tbody.tr.td:101-11","Variable","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
"Set_Sequence_Position.htm+html.body.table.tbody.tr.td:102-11","The ID of the sequence element to set the position of.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FSequences%2FSet_Sequence_Position.htm"
