"Get_Tile_Index_In_Cell.htm+html.head.title:55-3","Get Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm"
"Get_Tile_Index_In_Cell.htm+html.head.title:59-3","Get Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm"
"Get_Tile_Index_In_Cell.htm+html.body.div.div.div[title]:73-7","Get Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm"
"Get_Tile_Index_In_Cell.htm+html.body.div.div.div:73-7","{WITH_ENG}Get Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm"
#CSV_COMMENT_OUT#"Get_Tile_Index_In_Cell.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Get_Tile_Index_In_Cell.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Get_Tile_Index_In_Cell.htm+html.body.h1.img[alt]:86-7","{IMG_TXT} Get Tile Index In Cell Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm"
"Get_Tile_Index_In_Cell.htm+html.body.h1:86-3","{WITH_ENG} Get Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm"
"Get_Tile_Index_In_Cell.htm+html.body.p:87-3","With this action you can get a tile index on a given layer. The layer is specified from the layer name given (a string, as used to name the layer in the Room Editor), and then you give the row and column of the cell within the layer to get the tile index from. Finally you supply the target variable to store the returned tile index in, where 0 is no tile, and a positive integer is the index of the tile. Note that the target variable can be flagged as a temporary (local) variable that can be used until the end of the event.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm"
"Get_Tile_Index_In_Cell.htm+html.body.h4:91-3","Action Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FGet_Tile_Index_In_Cell.htm"
