"Set_Tile_Index_In_Cell.htm+html.head.title:55-3","Set Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.head.title:59-3","Set Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.div.div.div[title]:73-7","Set Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.div.div.div:73-7","{WITH_ENG}Set Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
#CSV_COMMENT_OUT#"Set_Tile_Index_In_Cell.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Set_Tile_Index_In_Cell.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Set_Tile_Index_In_Cell.htm+html.body.h1.img[alt]:86-7","{IMG_TXT} Set Tile Index In Cell Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.h1:86-3","{WITH_ENG} Set Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.p:87-3","With this action you can set a tile on a given layer to a new index. The layer is specified from the layer name given (a string, as used to name the layer in the Room Editor), and then you give the row and column of the cell within the layer to get the tile to set. Finally you supply the tile index to set the tile to (tiles are indexed from left to right from top to bottom, with 0 at the top left). Note you can always set the tile index to 0 to clear the tile.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.h4:90-3","Action Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.p.img[alt]:91-6","{IMG_TXT} Set Tile Index In Cell Action","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.h4:92-3","Arguments:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.th:97-11","Argument","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.th:98-11","Description","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.td:101-11","Layer","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.td:102-11","The layer to set the tile on","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.td:105-11","Column","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.td:106-11","The column (from left to right) of the cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.td:109-11","Row","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.td:110-11","The row (from top to bottom) of the cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.td:113-11","Tile","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.table.tbody.tr.td:114-11","The tile index to set the cell to","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.h4:120-3","Example:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.p.img[alt]:121-6","{IMG_TXT} Set Tile Index In Cell Example","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.p:121-3","The above action block code creates a loop to go through the top row of the given room layer, and as it does it checks to see if the tile indexed at the cell for the column is set to 0. If it is not the tile index for that cell is set to 0 and the temporary (local) variable is incremented before the loop does another set of checks.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.div.div.div.div:130-9","Back: <a href=""Tile_Actions.htm"">Tile Actions</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.div.div.div.div:131-9","Next: <a href=""Get_Tile_Index_In_Cell.htm"">Get Tile Index In Cell</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
#CSV_COMMENT_OUT#"Set_Tile_Index_In_Cell.htm+html.body.div.h5:134-5","© Copyright YoYo Games Ltd. 2020 All Rights Reserved",""
"Set_Tile_Index_In_Cell.htm+html.body.p:143-1","{SEARCH_RESULT} Page that explains the Set Tile Index In Cell action","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
"Set_Tile_Index_In_Cell.htm+html.body.p:143-76","{INDEX_KEYWORD} DnD™ Action - Set Tile Index In Cell","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTiles%2FSet_Tile_Index_In_Cell.htm"
