"Set_Timeline_State.htm+html.head.title:55-3","Set Timeline State","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm"
"Set_Timeline_State.htm+html.head.title:59-3","Set Timeline State","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm"
"Set_Timeline_State.htm+html.body.div.div.div[title]:73-7","Set Timeline State","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm"
"Set_Timeline_State.htm+html.body.div.div.div:73-7","{WITH_ENG}Set Timeline State","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm"
#CSV_COMMENT_OUT#"Set_Timeline_State.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Set_Timeline_State.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Set_Timeline_State.htm+html.body.h1.img[alt]:86-7","{IMG_TXT} Set Timeline State Icon","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm"
"Set_Timeline_State.htm+html.body.h1:86-3","{WITH_ENG} Set Timeline State","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm"
"Set_Timeline_State.htm+html.body.p:87-3","This action can be used to start, stop, pause or resume a timeline. The timeline must first have been set for the instance using the action <a href=""Set_Instance_Timeline.htm"">Set Instance Timeline</a>, and then you can use this action at any time to change its running state from the following options","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm"
"Set_Timeline_State.htm+html.body.table.tbody.tr.th:92-9","Option","","URL_EN : https://manual.yoyogames.com/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Drag_And_Drop%2FDrag_And_Drop_Reference%2FTimelines%2FSet_Timeline_State.htm"
