"argument_count.htm+html.head.title:55-3","argument_count","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.head.title:59-3","argument_count","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.div.div.div[title]:73-7","argument_count","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.div.div.div:73-7","argument_count","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
#CSV_COMMENT_OUT#"argument_count.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"argument_count.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"argument_count.htm+html.body.h1:86-3","argument_count","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.p:87-3","This <b>read-only</b> variable returns the number of ""arguments"" that are passed through to a <a href=""../../Script_Functions.htm"">script function</a> or a <a href=""../../Method_Variables.htm"">method</a>. Normally used in conjunction with an argument array (<a href=""argument.htm""><tt>argument[0...15]</tt></a>) to permit varying input arguments for a given function.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.p:89-3","<strong>NOTE</strong>: This isn't strictly required any more and is provided for legacy support more than anything else. All user-defined functions will accept variable arguments, and any argument passed into a function that is not part of the named inputs will be initialised to <span class=""inline"" style=""font-size: 14px"">undefined</span> by default, which can be checked using the <a href=""../../../GML_Reference/Variable_Functions/is_undefined.htm"">is_undefined()</a> function.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.h4:92-3","Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.p:93-3","argument_count;","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.h4:95-3","Returns:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.p:96-3","Integer","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.h4:98-3","Example:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.p:99-3","{ANY_CODE} function my_array()<br /> { <br /> var i, arg;<br /> for (i = 0; i &lt; 5; i += 1;)<br /> {nbsp_x3}{ <br /> {nbsp_x3}if argument_count &gt; i<br /> {nbsp_x6}{ <br /> {nbsp_x6}arg[i] = argument[i]<br /> {nbsp_x6}} <br /> {nbsp_x3}else <br /> {nbsp_x6}{ <br /> {nbsp_x6}arg[i] = -1;<br /> {nbsp_x6}} <br /> {nbsp_x3}} <br /> }","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.p:109-3","The above code uses the <tt>argument_count</tt> variable along with the <span class=""inline"">argument</span> array to initialize variables, and is an example of how to permit a user-defined function to accept a variable number of arguments.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.div.div.div.div:116-9","Back: <a href=""../Global_Variables.htm"">Global Variables</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
"argument_count.htm+html.body.div.div.div.div:117-9","Next: <a href=""async_load.htm"">async_load</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Overview%2FVariables%2FBuiltin_Global_Variables%2Fargument_count.htm"
