"skeleton_attachment_set.htm+html.head.title:55-3","skeleton_attachment_set","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.head.title:59-3","skeleton_attachment_set","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.div.div.div[title]:73-7","skeleton_attachment_set","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.div.div.div:73-7","skeleton_attachment_set","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
#CSV_COMMENT_OUT#"skeleton_attachment_set.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"skeleton_attachment_set.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"skeleton_attachment_set.htm+html.body.h1:86-3","skeleton_attachment_set","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.p:87-3","A skeletal animation sprite may have other images added as attachments, with these images being added to a named slot (the name is given when you create the attachment slot in your animation program) and they will be drawn along with the animation of the current sprite. With this function you can set an attachment to a given slot, where you are required to give the names (as strings) of the slot and the attachment. These names are defined by the animation program used, or (in the case of the attachment) when you call <a href=""skeleton_attachment_create.htm""><tt>skeleton_attachment_create()</tt></a>.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.p:90-3","Note that you can also pass a <tt>sprite_index</tt> in as the attachment, and that sprite will be used, or you can use -1 to remove the attachment from the slot. When you pass a sprite index in as an argument, it will create an attachment slot using the name of the sprite as the string to name the slot (so using <tt>spr_sword</tt>, for example, will create an attachment slot ""spr_sword""), and the slot will use the first image index (0) of the the sprite, as well as its x and y origin offset, with a scale of (1,1) and a rotation of 0.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.h4:94-3","Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.p:95-3","skeleton_attachment_set(slot, attachment);","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.table.tbody.tr.th:99-9","Argument","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.table.tbody.tr.th:100-9","Description","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.table.tbody.tr.td:103-9","slot","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.table.tbody.tr.td:104-9","The slot name (a string) to get the attachment of.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.table.tbody.tr.td:107-9","attachment","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.table.tbody.tr.td:108-9","The name (as a string or a sprite_index) of the attachment image.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.h4:113-3","Returns:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.p:114-3","String","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.h4:116-3","Example:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.p:117-3","{ANY_CODE} if skeleton_attachment_get(""slot_leftHand"") == """"<br /> {nbsp_x4}{ <br /> {nbsp_x4}skeleton_attachment_set(""slot_leftHand"", choose(""sword"", ""spear"", ""knife""));<br /> {nbsp_x4}}","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.p:120-3","The above code would check the currently assigned attachment name for the slot named ""slot_leftHand"" and if an empty string is returned, a new sprite is attached.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.div.div.div.div:127-9","Back: <a href=""Attachments.htm"">Attachments</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
"skeleton_attachment_set.htm+html.body.div.div.div.div:128-9","Next: <a href=""skeleton_attachment_create.htm"">skeleton_attachment_create</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
#CSV_COMMENT_OUT#"skeleton_attachment_set.htm+html.body.div.h5:131-5","© Copyright YoYo Games Ltd. 2020 All Rights Reserved",""
"skeleton_attachment_set.htm+html.body.p:140-1","{SEARCH_RESULT} Page explaining the function skeleton_attachment_set","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FSprites%2FSkeletal_Animation%2FAttachments%2Fskeleton_attachment_set.htm"
