"DS_Lists.htm+html.head.title:55-3","DS Lists","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm"
"DS_Lists.htm+html.head.title:59-3","DS Lists","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm"
"DS_Lists.htm+html.body.div.div.div[title]:73-7","DS Lists","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm"
"DS_Lists.htm+html.body.div.div.div:73-7","DS Lists","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm"
#CSV_COMMENT_OUT#"DS_Lists.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"DS_Lists.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"DS_Lists.htm+html.body.h1:86-3","DS Lists","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm"
"DS_Lists.htm+html.body.p:87-3","A DS list is a data-structure that stores information sequentially as it is added (much like an <a href=""../../../GML_Overview/Arrays.htm"">array</a>). DS lists are very flexible data structures that permit you to add values at the end or insert them somewhere in the middle of the list, as well as giving you the ability to shuffle the order (to randomise the values) or sort them in an ascending or descending order.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm"
"DS_Lists.htm+html.body.p:89-3","When accessing DS list data structures, you should always try to use <b>integer values</b> for the list position, and all non-integer indices will be floored by GameMaker Studio 2 if you do not. If that is not what you require, then you will need to do the rounding yourself previously before passing the index that you wish to check.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm"
"DS_Lists.htm+html.body.p:91-3","<b>NOTE</b>: As with all dynamic resources, data structures take up memory and so should <b>always</b> be destroyed when no longer needed to prevent memory leaks which will slow down and eventually crash your game.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Lists%2FDS_Lists.htm"
