"gpu_get_tex_mip_bias.htm+html.head.title:55-3","gpu_get_tex_mip_bias","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
"gpu_get_tex_mip_bias.htm+html.head.title:59-3","gpu_get_tex_mip_bias","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
"gpu_get_tex_mip_bias.htm+html.body.div.div.div[title]:73-7","gpu_get_tex_mip_bias","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
"gpu_get_tex_mip_bias.htm+html.body.div.div.div:73-7","gpu_get_tex_mip_bias","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
#CSV_COMMENT_OUT#"gpu_get_tex_mip_bias.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"gpu_get_tex_mip_bias.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"gpu_get_tex_mip_bias.htm+html.body.h1:86-3","gpu_get_tex_mip_bias","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
"gpu_get_tex_mip_bias.htm+html.body.p:87-3","With this function you can retrieve the mipmap bias value, where a value of 0 equals no bias, 1 equals the first mipmap, 2 equals the second mipmap etc... This controls the rate at which the mip map is swapped and will generally make rendered textures blurrier the higher the value and the greater the ""distance"" being viewed. Note that this can return negative values too, in which case rendered textures will be sharper over a greater distance the lower the value.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
"gpu_get_tex_mip_bias.htm+html.body.h4:90-3","Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
"gpu_get_tex_mip_bias.htm+html.body.p:91-3","gpu_get_tex_mip_bias();","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
"gpu_get_tex_mip_bias.htm+html.body.h4:93-3","Returns:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
"gpu_get_tex_mip_bias.htm+html.body.p:94-3","Real (default: 0)","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
"gpu_get_tex_mip_bias.htm+html.body.h4:96-3","Example:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FDrawing%2FMipmapping%2Fgpu_get_tex_mip_bias.htm"
