"In_App_Purchases.htm+html.head.title:55-3","In App Purchases","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm"
"In_App_Purchases.htm+html.head.title:59-3","In App Purchases","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm"
"In_App_Purchases.htm+html.body.div.div.div[title]:73-7","In App Purchases","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm"
"In_App_Purchases.htm+html.body.div.div.div:73-7","In App Purchases","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm"
#CSV_COMMENT_OUT#"In_App_Purchases.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"In_App_Purchases.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"In_App_Purchases.htm+html.body.h1:86-3","In App Purchases","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm"
"In_App_Purchases.htm+html.body.p:87-3","You can add In App Purchases to your games using the extensions available from the Marketplace and following the setup guides listed below (each extension comes with its own ""mini-manual"" that explains how to use it and lists all of the functions it contains):","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm"
"In_App_Purchases.htm+html.body.ul.li:91-5","Android: Setting Up IAPs","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm"
"In_App_Purchases.htm+html.body.ul.li:92-5","iOS: Setting Up IAPs","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FIn_App_Purchases%2FIn_App_Purchases.htm"
