"physics_apply_torque.htm+html.head.title:55-3","physics_apply_torque","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm"
"physics_apply_torque.htm+html.head.title:59-3","physics_apply_torque","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm"
"physics_apply_torque.htm+html.body.div.div.div[title]:73-7","physics_apply_torque","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm"
"physics_apply_torque.htm+html.body.div.div.div:73-7","physics_apply_torque","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm"
#CSV_COMMENT_OUT#"physics_apply_torque.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"physics_apply_torque.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"physics_apply_torque.htm+html.body.h1:86-3","physics_apply_torque","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm"
"physics_apply_torque.htm+html.body.p:87-3","When we talk about torque, we are generally talking about the tendency of a force or impulse to rotate an instance about its centre of mass, but in GameMaker Studio 2 you can also apply torque independently to an instance, causing it to rotate in a given direction. How much torque you apply to get the desired rotation all depends on the size and density of the fixture you assign to your instance, as both these properties go towards defining its mass, which defines its inertia, which affects torque! The general rule of thumb is that if an instance has a lot of inertia, you will need a lot of torque to get it to start rotating. It should also be noted that other factors like gravity and collisions can also affect the torque of an instance. Here is an image to help explain:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm"
"physics_apply_torque.htm+html.body.p.img[alt]:91-6","{IMG_TXT} Appply physics torque illustration","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm"
"physics_apply_torque.htm+html.body.p:91-3","As you can see, the amount of torque you need to rotate the object depends on the underlying mass and inertia that it gives. This is all calculated for you by GameMaker Studio 2 based on the size and density of the fixture that is assigned to the instance when it is created. Also note that for anti-clockwise rotation, the value should be negative.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FForces%2Fphysics_apply_torque.htm"
