"phy_linear_velocity_y.htm+html.head.title:55-3","phy_linear_velocity_y","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm"
"phy_linear_velocity_y.htm+html.head.title:59-3","phy_linear_velocity_y","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm"
"phy_linear_velocity_y.htm+html.body.div.div.div[title]:73-7","phy_linear_velocity_y","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm"
"phy_linear_velocity_y.htm+html.body.div.div.div:73-7","phy_linear_velocity_y","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm"
#CSV_COMMENT_OUT#"phy_linear_velocity_y.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"phy_linear_velocity_y.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"phy_linear_velocity_y.htm+html.body.h1:86-3","phy_linear_velocity_y","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm"
"phy_linear_velocity_y.htm+html.body.p:87-3","This variable can be used to get or to change the y component the instances linear velocity vector and is defined in pixels per second (for pixels per step, see <a href=""phy_speed_y.htm""><tt>phy_speed_y</tt></a>). Altering this for a static instance (ie: an instance with 0 density) will turn it into a kinematic instance","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm"
"phy_linear_velocity_y.htm+html.body.h4:90-3","Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm"
"phy_linear_velocity_y.htm+html.body.p:91-3","phy_linear_velocity_y;","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_linear_velocity_y.htm"
