"phy_speed.htm+html.head.title:55-3","phy_speed","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.head.title:59-3","phy_speed","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.body.div.div.div[title]:73-7","phy_speed","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.body.div.div.div:73-7","phy_speed","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
#CSV_COMMENT_OUT#"phy_speed.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"phy_speed.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"phy_speed.htm+html.body.h1:86-3","phy_speed","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.body.p:87-3","This <b>read-only</b> variable returns the speed as a value in pixels-per-second of the physics enabled instance. Should you need to change this value, you must do so by changing the x and y vectors using the variables <a href=""phy_speed_x.htm""><tt>phy_speed_x</tt></a> and <a href=""phy_speed_y.htm""><tt>phy_speed_y</tt></a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.body.h4:89-3","Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.body.p:90-3","phy_speed;","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.body.h4:92-3","Returns:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.body.p:93-3","Real (single precision floating point value, or <tt>undefined</tt> if the instance is not physics enabled)","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.body.h4:95-3","Example:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
"phy_speed.htm+html.body.p:96-3","{ANY_CODE} if phy_speed &gt; 10<br /> {nbsp_x4}{ <br /> {nbsp_x4}phy_linear_damping += 0.01;<br /> {nbsp_x4}} <br /> else <br /> {nbsp_x4}{ <br /> {nbsp_x4}phy_linear_damping = 2;<br /> {nbsp_x4}}","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FPhysics%2FPhysics_Variables%2Fphy_speed.htm"
