"steam_is_overlay_activated.htm+html.head.title:55-3","steam_is_overlay_activated","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
"steam_is_overlay_activated.htm+html.head.title:59-3","steam_is_overlay_activated","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
"steam_is_overlay_activated.htm+html.body.div.div.div[title]:73-7","steam_is_overlay_activated","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
"steam_is_overlay_activated.htm+html.body.div.div.div:73-7","steam_is_overlay_activated","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
#CSV_COMMENT_OUT#"steam_is_overlay_activated.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"steam_is_overlay_activated.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"steam_is_overlay_activated.htm+html.body.h1:86-3","steam_is_overlay_activated","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
"steam_is_overlay_activated.htm+html.body.p:87-3","This function can be used to find out if the user has the Steam Overlay active or not. If the overlay is active and visible to the user the function will return <tt>true</tt>, and if it is not, then it will return <tt>false</tt>. An example of what this function can be used for would be for polling the Steam API for the overlay so that you can pause your game while the overlay is being shown.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
"steam_is_overlay_activated.htm+html.body.h4:90-3","Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
"steam_is_overlay_activated.htm+html.body.p:91-3","steam_is_overlay_activated();","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
"steam_is_overlay_activated.htm+html.body.h4:93-3","Returns:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
"steam_is_overlay_activated.htm+html.body.p:94-3","Boolean","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FSteam%2FSteam_Overlay%2Fsteam_is_overlay_activated.htm"
