"uwp_check_privilege.htm+html.head.title:55-3","uwp_check_privilege","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.head.title:59-3","uwp_check_privilege","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.div.div.div[title]:73-7","uwp_check_privilege","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.div.div.div:73-7","uwp_check_privilege","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
#CSV_COMMENT_OUT#"uwp_check_privilege.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"uwp_check_privilege.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"uwp_check_privilege.htm+html.body.h1:86-3","uwp_check_privilege","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.p:87-3","With this function you can check that a given user has a chosen privilege. The function will return true or false in the System Asynchronous Event depending on whether the privilege is enabled or not, and if you set the attempt_resolution argument to true and the privilege isn't enabled, it will also open a system dialog (suspending the game) to prompt the user to upgrade the account or whatever is required to get the privilege. If the user then enables the required option, the function will return true.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.p:90-3","The function requires that you use one of the following constants for the privilege request:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.th:95-9","Constant","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.th:96-9","Description","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:99-9","uwp_privilege_internet_browsing","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:100-9","Check to see if internet browsing is permitted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:103-9","uwp_privilege_social_network_sharing","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:104-9","Check to see if sharing to social networks is permitted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:107-9","uwp_privilege_share_kinect_content","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:108-9","Check whether sharing the Kinect controller is permitted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:111-9","uwp_privilege_video_communications","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:112-9","Check to see if video communication is permitted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:115-9","uwp_privilege_communications","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:116-9","Check to see if internet communication is permitted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:119-9","uwp_privilege_user_created_content","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:120-9","Check if access to user created content is permitted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:123-9","uwp_privilege_multiplayer_sessions","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:124-9","Check to see if online multiplayer sessions are permitted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:127-9","uwp_privilege_sessions","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:128-9","Check to see if online sessions are permitted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:131-9","uwp_privilege_fitness_upload","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.table.tbody.tr.td:132-9","Check to see if fitness data uploading is permitted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.p:137-3","Once the function has been called, on XBox One it will trigger an <a href=""../../../The_Asset_Editors/Object_Properties/Async_Events/System.htm"">Asynchronous System event</a> when the callback result has been received, which will have the special DS map <a href=""../../GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><tt>async_load</tt></a>. This map should then be parsed for the following key:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li:140-5","""<b>event_type</b>"" - should hold the value ""check_privilege_result"" if the event was triggered by this function","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.p:142-3","If the event type relates to this function, then there will also be the following additional keys when the function is called on XBox:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li:144-5","""<b>result</b>"" - Will be one or more of the following constants (combined values):","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.th:148-13","Constant","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.th:149-13","Description","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.th:150-13","Value","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:153-13","uwp_privilege_result_no_issue","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:154-13","There are no privilege issues with the user","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:155-13","0","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:158-13","uwp_privilege_result_purchase_required","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:159-13","The user must purchase something additional, usually a subscription, for access","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:160-13","1","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:163-13","uwp_privilege_result_aborted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:164-13","The check was aborted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:165-13","2","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:168-13","uwp_privilege_result_banned","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:169-13","The user is banned","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:170-13","4","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
"uwp_check_privilege.htm+html.body.ul.li.table.tbody.tr.td:173-13","uwp_privilege_result_restricted","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FUWP_And_XBox_Live%2Fuwp_check_privilege.htm"
