"Standard_Workflow.htm+html.head.title:55-3","Standard Workflow","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm"
"Standard_Workflow.htm+html.head.title:59-3","Standard Workflow","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm"
"Standard_Workflow.htm+html.body.div.div.div[title]:74-7","Standard Workflow","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm"
"Standard_Workflow.htm+html.body.div.div.div:74-7","Standard Workflow","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm"
#CSV_COMMENT_OUT#"Standard_Workflow.htm+html.body.div.div.div[title]:77-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Standard_Workflow.htm+html.body.div.div.div:77-7","Click here to see this page in full context",""
"Standard_Workflow.htm+html.body.h1:87-3","Standard Workflow","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm"
"Standard_Workflow.htm+html.body.p:88-3","As you work on your project, you will naturally create sprites, edit scripts, delete timelines, and whatever else is required as your project develops over time. These are all actions which you may want to keep track of and get back should something go wrong. This is the main reason to use Source Control - so that any accidents can be reverted - and we will quickly take you through the basic workflow from start so you understand how this works.","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm"
"Standard_Workflow.htm+html.body.p:90-3","Starting from the beginning, create a new GML project and then activate source control through the <a href=""../../Settings/Game_Options.htm"">main options</a>. This gives us access to the Source Control menu on the top, so we'll immediately go and select <strong>Create Project Repository</strong>. If you look at the room resources, you can see that the default room has gained a red exclamation <img alt=""{IMG_TXT} SCM Modified Icon"" class=""icon"" src=""../../assets/Images/Icons/SCM_Modified.png"" style=""width: 100%; max-width: 24px;"" />, meaning that it has been <strong>modified </strong>from it's last state. If we had other resources in the project, you'd see that they all have the same icon as shown in the image below:","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm"
"Standard_Workflow.htm+html.body.p.img[alt]:93-6","{IMG_TXT} Source Control Modified Assets","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Tools%2FSource_Control%2FStandard_Workflow.htm"
