"Asset_Browser_Preferences.htm+html.head.title:55-3","Asset Browser Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm"
"Asset_Browser_Preferences.htm+html.head.title:59-3","Asset Browser Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm"
"Asset_Browser_Preferences.htm+html.body.div.div.div[title]:73-7","Asset Browser Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm"
"Asset_Browser_Preferences.htm+html.body.div.div.div:73-7","Asset Browser Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm"
#CSV_COMMENT_OUT#"Asset_Browser_Preferences.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Asset_Browser_Preferences.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Asset_Browser_Preferences.htm+html.body.h1:86-3","Asset Browser Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm"
"Asset_Browser_Preferences.htm+html.body.p.img[alt]:87-6","{IMG_TXT} The Asset Browser Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm"
"Asset_Browser_Preferences.htm+html.body.p:87-3","The <strong>Asset Browser Preferences</strong> are used to define certain properties for how the <a href=""../../Introduction/The_Asset_Browser.htm"">Asset Browser</a> and its elements function. The main options are:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm"
"Asset_Browser_Preferences.htm+html.body.ul.li:90-5","<strong>Show Quick Access</strong>: When enabled, this option will show the ""Quick Access"" section at the top of the Asset Browser. This option is enabled by default.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FAsset_Browser_Preferences.htm"
