"Extension_Editor_Preferences.htm+html.head.title:55-3","Extension Editor Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm"
"Extension_Editor_Preferences.htm+html.head.title:59-3","Extension Editor Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm"
"Extension_Editor_Preferences.htm+html.body.div.div.div[title]:73-7","Extension Editor Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm"
"Extension_Editor_Preferences.htm+html.body.div.div.div:73-7","Extension Editor Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm"
#CSV_COMMENT_OUT#"Extension_Editor_Preferences.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Extension_Editor_Preferences.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Extension_Editor_Preferences.htm+html.body.h1:86-3","Extension Editor Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm"
"Extension_Editor_Preferences.htm+html.body.p.img[alt]:87-6","{IMG_TXT} The Extension Editor Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm"
"Extension_Editor_Preferences.htm+html.body.p:87-3","The <strong>Extension Editor preferences</strong> cover a few options related to the messages that you are shown when using it, with the exact details outlined below:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm"
"Extension_Editor_Preferences.htm+html.body.ul.li:90-5","<strong>Automatic response to file deletion</strong>: The default setting here is to show a message asking if you are sure you want to delete, but you can set this to ""OK"" so that all deletions are completed without this message as if you'd clicked okay already.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FExtension_Editor_Preferences.htm"
