"Recent_Windows.htm+html.head.title:55-3","Recent Windows","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm"
"Recent_Windows.htm+html.head.title:59-3","Recent Windows","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm"
"Recent_Windows.htm+html.body.div.div.div[title]:73-7","Recent Windows","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm"
"Recent_Windows.htm+html.body.div.div.div:73-7","Recent Windows","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm"
#CSV_COMMENT_OUT#"Recent_Windows.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Recent_Windows.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Recent_Windows.htm+html.body.h1:86-3","Recent Windows Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm"
"Recent_Windows.htm+html.body.p.img[alt]:87-6","{IMG_TXT} Recent Wndows Prefs","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm"
"Recent_Windows.htm+html.body.p:88-3","The preferences here contain options for how the <a href=""../../../IDE_Navigation/Recent_Windows.htm"">Recent Windows</a> list will display items:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm"
"Recent_Windows.htm+html.body.ul.li:90-5","<strong>Move focused windows to top</strong>: When this is enabled and you click on any item in the Recent Window list, the selected item will be moved to the top of the list. By default this is disabled.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FRecent_Windows.htm"
