"Plugin_Preferences.htm+html.head.title:55-3","Plugin Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm"
"Plugin_Preferences.htm+html.head.title:59-3","Plugin Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm"
"Plugin_Preferences.htm+html.body.div.div.div[title]:73-7","Plugin Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm"
"Plugin_Preferences.htm+html.body.div.div.div:73-7","Plugin Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm"
#CSV_COMMENT_OUT#"Plugin_Preferences.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Plugin_Preferences.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Plugin_Preferences.htm+html.body.h1:86-3","Plugin Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm"
"Plugin_Preferences.htm+html.body.p:87-3","The <strong>Plugins Preferences</strong> are used to control any extra plugins that have been added to the GameMaker Studio 2 IDE. By default this has one section dedicated to the <strong>Source Control</strong> plugin for integrating GameMaker Studio 2 projects with <a href=""https://git-scm{-dot-}com/"">Git</a>.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm"
"Plugin_Preferences.htm+html.body.p:89-3","<span data-open-text=""true"">Source Control (Git)</span><span data-close-text=""true"">Source Control (Git)</span>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm"
"Plugin_Preferences.htm+html.body.div.p.img[alt]:92-7","{IMG_TXT} Plugins Git SCM Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FPlugin_Preferences.htm"
