"Platform_Preferences.htm+html.head.title:55-3","Platform Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm"
"Platform_Preferences.htm+html.head.title:59-3","Platform Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm"
"Platform_Preferences.htm+html.body.div.div.div[title]:73-7","Platform Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm"
"Platform_Preferences.htm+html.body.div.div.div:73-7","Platform Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm"
#CSV_COMMENT_OUT#"Platform_Preferences.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Platform_Preferences.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Platform_Preferences.htm+html.body.h1:86-3","Platform Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm"
"Platform_Preferences.htm+html.body.p:87-3","This section of the manual covers the different platform specific <strong>Preferences </strong>that need to be set up before you can compile your games to certain targets. These generally only need set up once to start with (although future updates to the <a href=""IDE_Preferences/Runtime_Feed_Preferences.htm"">runtimes</a> may require you to change certain things, but these will be mentioned in the <a href=""Release_Notes.htm"">Release Notes</a>) and are use to point to any <a class=""tooltip"" title=""TITLE_KEY::SDK"">SDK</a>s that are required and set basic <a class=""tooltip"" title=""TITLE_KEY::Compiling"">Compiling</a> options for how you want GameMaker Studio 2 to compile your game projects for any given platform. Note that the platforms available will depend on the <a href=""GMS2_Version_Information.htm"">Licence</a> that you have and not all of them may be available.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm"
"Platform_Preferences.htm+html.body.p:90-3","Below is a list of all the available target platforms for standard licences:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm"
"Platform_Preferences.htm+html.body.ul.li:92-5","Android","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences.htm"
