"Steam.htm+html.head.title:55-3","Steam","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
"Steam.htm+html.head.title:59-3","Steam","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
"Steam.htm+html.body.div.div.div[title]:73-7","Steam","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
"Steam.htm+html.body.div.div.div:73-7","Steam","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
#CSV_COMMENT_OUT#"Steam.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Steam.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Steam.htm+html.body.h1:86-3","Steam Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
"Steam.htm+html.body.p:87-3","The Steam SDK is used for Windows, macOS and Ubuntu (Linux) builds that are to be distributed through the Steam platform. This section contains the setup options required to get it working within your projects:","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
"Steam.htm+html.body.p.img[alt]:88-6","{IMG_TXT} Steam Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
"Steam.htm+html.body.ul.li:90-5","<strong>Path To Steam SDK</strong>: The system path to where you have installed the Steam SDK. Once you have set this path to the SDK, you will then need to activate Steam in the <a href=""../../Settings/Game_Options.htm"">Game Options</a> and then for each platform add the <strong>App ID</strong>.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
"Steam.htm+html.body.div.div.div.div:99-9","Back: <a href=""../Platform_Preferences.htm"">Platform Preferences</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
"Steam.htm+html.body.div.div.div.div:100-9","Next: <a href=""Windows.htm"">Windows</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
#CSV_COMMENT_OUT#"Steam.htm+html.body.div.h5:103-5","© Copyright YoYo Games Ltd. 2020 All Rights Reserved",""
"Steam.htm+html.body.p:112-1","{SEARCH_RESULT} Page that details the Steam Platform Preferences","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
"Steam.htm+html.body.p:112-72","{INDEX_KEYWORD} Prefs - Steam","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FPlatform_Preferences%2FSteam.htm"
