"Async_Events.htm+html.head.title:55-3","Async Events","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.head.title:59-3","Async Events","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.body.div.div.div[title]:73-7","Async Events","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.body.div.div.div:73-7","Async Events","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
#CSV_COMMENT_OUT#"Async_Events.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"Async_Events.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"Async_Events.htm+html.body.h1:86-3","The Async Events","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.body.p.img[alt]:87-6","{IMG_TXT} The Async Event","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.body.p:88-3","An Asynchronous Event is one that is fired off when GameMaker Studio 2 receives a <a class=""tooltip"" title=""TITLE_KEY::callback"">callback</a> from some external source, which can be from the web or from the device running your game. Basically, you tell GameMaker Studio 2 to do something - like load an image - and it'll start to do this but continue doing whatever it else it has to do meanwhile its working. Then, when the request has been completed, a callback will be sent to GameMaker Studio 2 and any Asynchronous Events defined for that type of callback will be fired.","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.body.p:91-3","Please note that the Asynchronous Events are fired for <em>all </em>instances that have them, much like the keyboard events, so you can - for example - do an <span class=""inline"">http_get()</span> call in one instance, yet have the <strong>Asynchronous HTTP Event</strong> in another to deal with the callback.","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.body.p:92-3","<strong>NOTE</strong>: You should be aware that due to XSS protection in browsers, requests and attempts to load resources from across domains are blocked and may appear to return blank results when using any of the following events.","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.body.p:93-3","There are various types of events associated with the Asynchronous event category, and they are all explained in the sections below:","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.body.p:94-3","<strong>NOTE</strong>: The variable <a href=""../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><span style=""font-size:14px;""><span class=""inline"" style=""font-size: 14px"">async_load</span></span></a> which is mentioned in the following sections is <strong>only valid in these events</strong>, as the DS map that it points to is created at the start of the event, then deleted again at the end, with this variable being reset to a value of -1 at all other times.","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
"Async_Events.htm+html.body.ul.li:97-5","Audio Playback","","URL_EN : https://manual.yoyogames.com/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=The_Asset_Editors%2FObject_Properties%2FAsync_Events.htm"
